id,name,role,level,domain,profession,skills,goal,language,format
mentee_fb54af75,Елена Никитин,mentee,middle,DevOps,SRE,grafana; azure; linux; jenkins; kubernetes; ansible; bash; prometheus,Подготовиться к интервью в FAANG,ru,online
mentee_d5544a0f,Ольга Орлов,mentee,junior,Data Science,MLOps Engineer,pandas; python; mlflow; tensorflow; spark,Разобраться с системным дизайном,ru,online
mentee_40af99f1,Валерия Егоров,mentee,senior,Product Analytics,Product Analyst,statistics; sql; google analytics; a/b testing; power bi; mixpanel,Вырасти до Senior,ru+en,online
mentee_ab48fdfb,Максим Захаров,mentee,middle,Blockchain,Solidity Developer,defi; nft; truffle; python; typescript; ethers.js; ethereum; smart contracts; microservices,Сменить специальность,ru,online
mentee_e86bed2c,Сергей Иванов,mentee,junior,DevOps,SRE,gcp; prometheus; linux; helm; jenkins; java,Подготовиться к интервью в FAANG,en,online
mentee_dc8a0ebd,Вера Андреев,mentee,middle,Cybersecurity,Incident Response Analyst,metasploit; burp suite; owasp; wireshark; linux; flutter,Вырасти до Senior,ru,hybrid
mentee_be51c05e,Алина Макаров,mentee,middle,Blockchain,Web3 Engineer,typescript; defi; python; ethereum; nft; rust; sql,Разобраться с архитектурой,ru,online
mentee_d5ba3ae7,Елена Степанов,mentee,junior,Blockchain,Solidity Developer,ethers.js; nft,Освоить облачные технологии,ru+en,online
mentee_210735eb,Виктория Морозов,mentee,middle,Product Analytics,Product Analyst,looker; python; google analytics; tableau; amplitude; excel,Улучшить soft skills,ru+en,hybrid
mentee_4b23fcf9,Екатерина Захаров,mentee,middle,Product Analytics,Product Analyst,a/b testing; sql; looker; excel; amplitude; statistics; python,,ru,online
mentee_7fd2511f,Ирина Семёнов,mentee,junior,Data Science,Research Scientist,,,ru+en,online
mentee_fa4983f2,Дарья Козлов,mentee,junior,Blockchain,Smart Contract Developer,ethereum; defi; kafka,Вырасти до Senior,ru,online
mentee_fb40a52e,Виктория Соловьёв,mentee,senior,Cybersecurity,Security Architect,siem; wireshark; cryptography; nmap; network security; burp suite; python; linux; penetration testing,Начать карьеру в IT,ru+en,online
mentee_e8aeb3f1,Дарья Соловьёв,mentee,middle,Cybersecurity,Incident Response Analyst,,,,
mentee_10ff9150,Денис Волков,mentee,middle,Product Analytics,Retention Analyst,a/b testing; looker; power bi; excel; google analytics; python,Сменить специальность,,
mentee_22080b8b,Михаил Морозов,mentee,middle,DevOps,CI/CD Engineer,prometheus; grafana; aws; helm; terraform; gcp; docker; pytest,Освоить новый стек,en,online
mentee_aade1317,Наталья Кузнецов,mentee,senior,Data Science,Data Analyst,R; tensorflow; pytorch; mlflow; sql; pandas; docker; kafka; spark,Научиться менеджменту в IT,ru+en,offline
mentee_c3f87132,Тамара Кузнецов,mentee,senior,Product Analytics,Retention Analyst,looker; mixpanel; amplitude; python; a/b testing; sql; tableau,Разобраться с архитектурой,ru,online
mentee_e96a614e,Полина Васильев,mentee,junior,Data Science,MLOps Engineer,airflow; sql; mlflow,Вырасти до Lead/Principal,ru,online
mentee_e34823ef,Наталья Михайлов,mentee,senior,Blockchain,Crypto Analyst,truffle; python; nft; typescript; solidity; defi; rust; ethers.js; web3.js; ui/ux,Подготовиться к интервью в FAANG,,
mentee_98906821,Дарья Соколов,mentee,middle,QA,QA Lead,,Научиться менеджменту в IT,ru+en,
mentee_5f348d2d,Ирина Макаров,mentee,junior,QA,Manual Tester,selenium; test planning; jira; cypress; mlflow,Разобраться с архитектурой,ru,hybrid
mentee_52b2e469,Максим Орлов,mentee,junior,DevOps,Platform Engineer,linux; jenkins; bash,Начать карьеру в IT,en,hybrid
mentee_34faa17c,Михаил Степанов,mentee,middle,Data Science,MLOps Engineer,docker; numpy; pandas; tensorflow; pytorch; sql; grafana,Перейти в другую компанию,ru+en,online
mentee_73b872cd,Денис Зайцев,mentee,middle,Cybersecurity,Incident Response Analyst,,Подготовиться к интервью в FAANG,en,
mentee_97d19851,Наталья Захаров,mentee,junior,Backend,Go Developer,mongodb; rest api; grpc,Научиться менеджменту в IT,ru+en,hybrid
mentee_1eb5bf54,Алина Волков,mentee,junior,QA,QA Engineer,,Улучшить soft skills,en,online
mentee_7e1c3b43,Денис Иванов,mentee,junior,Mobile,iOS Developer,ui/ux; react native; kotlin; rest api,Подготовиться к интервью в FAANG,ru,online
mentee_5775225d,Екатерина Попов,mentee,junior,Data Science,MLOps Engineer,airflow; numpy; sql,Улучшить soft skills,ru+en,offline
mentee_4f2940ad,Виктория Орлов,mentee,middle,Blockchain,Crypto Analyst,nft; hardhat; defi; python; react native,Освоить облачные технологии,ru,online
mentee_431c24f3,Кирилл Смирнов,mentee,junior,Mobile,Mobile Architect,xcode; react native; kotlin; rest api; ui/ux,Улучшить soft skills,ru,hybrid
mentee_4d563c19,Надежда Соколов,mentee,junior,Mobile,Android Developer,git; react native,Освоить новый стек,ru+en,online
mentee_72b8eb9e,Ольга Козлов,mentee,junior,Blockchain,Blockchain Developer,,,ru,online
mentee_a7edcf2e,Татьяна Степанов,mentee,middle,Data Science,Data Analyst,,Разобраться с системным дизайном,ru,
mentee_3e9da764,Екатерина Никитин,mentee,junior,Frontend,Angular Developer,webpack; tailwind,Перейти в другую компанию,ru,online
mentee_e2650cc4,Антон Фёдоров,mentee,junior,Blockchain,Blockchain Developer,truffle; solidity; typescript; nft; defi,Вырасти до Senior,ru,hybrid
mentee_d4d7565a,Артём Васильев,mentee,junior,Backend,Java Developer,kubernetes; rest api; mongodb; docker,Научиться менеджменту в IT,ru+en,online
mentee_5267f8a9,Екатерина Борисов,mentee,junior,Blockchain,DeFi Developer,,,,
mentee_9a593eaa,Полина Семёнов,mentee,middle,Game Development,Gameplay Programmer,physics simulation; opengl; game design; git; c++,Разобраться с системным дизайном,ru,offline
mentee_295a12ec,Артём Кузнецов,mentee,junior,Frontend,Angular Developer,typescript; css; allure,Вырасти до Lead/Principal,ru,online
mentee_146e6ff8,Полина Борисов,mentee,middle,Mobile,Swift Developer,xcode; ui/ux; java; android studio; rust,,ru,online
mentee_3cb6f624,Екатерина Захаров,mentee,middle,Mobile,Kotlin Developer,ui/ux; react native; firebase; git; swift; xcode,Освоить новый стек,en,online
mentee_c38ece95,Андрей Борисов,mentee,junior,Cybersecurity,SOC Analyst,network security; metasploit; burp suite; pandas,Разобраться с архитектурой,ru,online
mentee_8c7a2a41,Надежда Николаев,mentee,junior,Frontend,Vue Developer,javascript; react; kafka,,ru,online
mentee_1973647a,Никита Захаров,mentee,junior,Blockchain,DeFi Developer,smart contracts; defi; a/b testing,Улучшить soft skills,ru,online
mentee_9a32941d,Ольга Захаров,mentee,senior,Data Science,Data Scientist,,,ru,online
mentee_af14f89a,Максим Павлов,mentee,junior,QA,Test Automation Engineer,pytest; jira; selenium; git; mongodb,Разобраться с системным дизайном,,
mentee_ec308a46,Виктория Фёдоров,mentee,middle,Blockchain,DeFi Developer,defi; solidity; smart contracts; ethers.js,Запустить собственный продукт,ru,offline
mentee_3762dccf,Вера Алексеев,mentee,junior,QA,Test Analyst,jira; cypress,Сменить специальность,,online
mentee_39ac9df3,Алексей Захаров,mentee,junior,Game Development,Gameplay Programmer,opengl; c#; c++; unreal engine; terraform,Запустить собственный продукт,,
mentee_1d7b2cc1,Владимир Семёнов,mentee,junior,Backend,API Developer,rest api; kubernetes; mongodb; grpc; microservices,Улучшить soft skills,ru,online
mentee_a3c4f653,Кирилл Павлов,mentee,junior,Cybersecurity,Incident Response Analyst,,Вырасти до Senior,ru,online
mentee_e259dda7,Анна Николаев,mentee,junior,Cybersecurity,Security Engineer,siem; network security; owasp; penetration testing; wireshark,Запустить собственный продукт,en,online
mentee_3410883e,Роман Макаров,mentee,junior,Frontend,Frontend Developer,vite; graphql; siem,Освоить облачные технологии,ru,offline
mentee_1c80c96a,Роман Андреев,mentee,junior,Cybersecurity,AppSec Engineer,cryptography; linux; docker,Улучшить soft skills,ru,online
mentee_ffdaf56a,Наталья Волков,mentee,senior,Blockchain,Smart Contract Developer,truffle; typescript; defi; ethers.js; web3.js; ethereum; python; rust,Разобраться с системным дизайном,,
mentee_44f31e4c,Полина Павлов,mentee,middle,Game Development,Game Developer,unity; opengl; blender; c#; unreal engine; game design,Освоить облачные технологии,ru,hybrid
mentee_da284102,Григорий Захаров,mentee,junior,Cybersecurity,Incident Response Analyst,cryptography; linux,Запустить собственный продукт,ru,online
mentee_b748eab9,Михаил Лебедев,mentee,junior,Blockchain,Smart Contract Developer,truffle; rust; nft; python,Начать карьеру в IT,ru,online
mentee_8917038f,Надежда Семёнов,mentee,junior,Product Analytics,Retention Analyst,,,,
mentee_2656b426,Антон Лебедев,mentee,junior,Cybersecurity,Incident Response Analyst,wireshark; network security; nmap,Перейти в ML/Data Science,ru,hybrid
mentee_ff0234b4,Сергей Новиков,mentee,middle,Backend,Software Engineer,,Освоить облачные технологии,ru+en,
mentee_d8a2d9cb,Максим Соловьёв,mentee,junior,QA,QA Engineer,appium; selenium; jira; git; test planning,Сменить специальность,ru,online
mentee_621ed6f0,Роман Зайцев,mentee,junior,Mobile,iOS Developer,flutter; swift; xcode,Освоить облачные технологии,en,online
mentee_0ea62903,Дмитрий Новиков,mentee,middle,Product Analytics,Web Analyst,,Сменить специальность,en,online
mentee_09b40911,Татьяна Фёдоров,mentee,middle,Game Development,Game Designer,unity; c++; physics simulation; game design; statistics,,ru,offline
mentee_bbe16923,Тамара Волков,mentee,middle,Frontend,Vue Developer,figma; css; react; typescript; vite,Вырасти до Senior,ru+en,online
mentee_1b5ebcc9,Денис Смирнов,mentee,middle,Game Development,Technical Artist,,Улучшить soft skills,ru,
mentee_1f6d45b9,Кирилл Михайлов,mentee,junior,Data Science,NLP Engineer,R; mlflow,Разобраться с системным дизайном,ru,online
mentee_74cb5fde,Алина Макаров,mentee,junior,Frontend,TypeScript Developer,graphql; react; next.js; typescript; webpack; penetration testing,Начать карьеру в IT,ru,online
mentee_ba2bfb6e,Арсений Егоров,mentee,senior,Game Development,Game Designer,unity; c++; blender; opengl; physics simulation; git; c#; lua; firebase,Пройти сертификацию,ru,online
mentee_3d5168f9,Владимир Волков,mentee,senior,Mobile,Android Developer,xcode; kotlin; firebase; objective-c; ui/ux; java; git; rest api; flutter; android studio; test planning,Подготовиться к интервью в FAANG,ru,offline
mentee_495fb43e,Кирилл Николаев,mentee,junior,Product Analytics,Marketing Analyst,mixpanel; sql; python; power bi; google analytics,Разобраться с архитектурой,en,hybrid
mentee_f6c76fbd,Михаил Васильев,mentee,junior,Blockchain,Crypto Analyst,rust; truffle,Научиться менеджменту в IT,ru+en,online
mentee_ce77853e,Артём Степанов,mentee,junior,Product Analytics,Marketing Analyst,a/b testing; tableau; power bi,Подготовиться к интервью в FAANG,ru,online
mentee_6d6036ca,Светлана Попов,mentee,middle,Product Analytics,Web Analyst,mixpanel; excel; amplitude; looker; tableau; a/b testing; typescript,Освоить облачные технологии,ru,offline
mentee_a77f76a9,Светлана Козлов,mentee,senior,Mobile,Swift Developer,,Подготовиться к интервью в FAANG,ru+en,hybrid
mentee_bd599916,Максим Попов,mentee,middle,Frontend,TypeScript Developer,tailwind; react; vue; webpack; javascript,Запустить собственный продукт,ru,hybrid
mentee_0a2af0fd,Денис Павлов,mentee,middle,Blockchain,Blockchain Developer,defi; hardhat; web3.js; ethers.js; smart contracts; nft; solidity,Улучшить soft skills,,online
mentee_560fa709,Ольга Лебедев,mentee,junior,Game Development,Gameplay Programmer,unreal engine; lua; react,Разобраться с системным дизайном,ru+en,online
mentee_bbe5e5cd,Юлия Соколов,mentee,senior,Game Development,Unreal Engine Developer,blender; c#; git; unreal engine; lua; opengl; game design; physics simulation; unity; c++,Запустить собственный продукт,ru,hybrid
mentee_4f365949,Надежда Лебедев,mentee,junior,Blockchain,Web3 Engineer,nft; truffle,Улучшить soft skills,ru+en,online
mentee_d2c128da,Иван Петров,mentee,middle,QA,SDET,jira; sql; git; jmeter; appium; postman; test planning,Разобраться с системным дизайном,en,hybrid
mentee_27d75853,Светлана Попов,mentee,senior,Frontend,TypeScript Developer,vue; webpack; typescript; angular; next.js; tailwind; graphql; javascript; statistics,Научиться менеджменту в IT,ru,hybrid
mentee_e8b63612,Алексей Захаров,mentee,junior,Mobile,Mobile Architect,rest api; git; java,Подготовиться к интервью в FAANG,ru,online
mentee_bce2b593,Иван Смирнов,mentee,junior,Product Analytics,Growth Analyst,excel; statistics; looker; mixpanel,,en,online
mentee_f1b1078b,Михаил Алексеев,mentee,senior,Mobile,Kotlin Developer,ui/ux; git; react native; android studio; xcode; swift,Освоить облачные технологии,en,online
mentee_778043c8,Валерия Волков,mentee,senior,Blockchain,Blockchain Developer,,Начать карьеру в IT,ru+en,online
mentee_5bde6cac,Валерия Павлов,mentee,junior,Frontend,React Developer,javascript; tailwind; allure,Освоить облачные технологии,ru,online
mentee_07fafff9,Павел Петров,mentee,senior,Frontend,Vue Developer,figma; next.js; angular; tailwind; html; webpack; vite; graphql; react,Перейти в ML/Data Science,ru,offline
mentee_e5fd8a60,Дмитрий Николаев,mentee,senior,Blockchain,Web3 Engineer,python; truffle; hardhat; rust; solidity; typescript; ethereum; web3.js; smart contracts; docker,Запустить собственный продукт,ru+en,online
mentee_9803dd27,Никита Лебедев,mentee,junior,Mobile,React Native Developer,,,,
mentee_0751e4cb,Иван Макаров,mentee,middle,Blockchain,DeFi Developer,ethereum; rust; typescript; smart contracts; nft,Разобраться с системным дизайном,ru+en,online
mentee_09fffdb0,Юлия Николаев,mentee,middle,Game Development,Unreal Engine Developer,c++; git; blender; lua; unreal engine; c#; opengl,Разобраться с архитектурой,en,online
mentee_0627a5ef,Арсений Алексеев,mentee,junior,Cybersecurity,SOC Analyst,,,,
mentee_a8651c29,Наталья Фёдоров,mentee,senior,QA,Test Analyst,,Перейти в ML/Data Science,ru,
mentee_a4cde4f2,Денис Соколов,mentee,middle,Mobile,React Native Developer,git; xcode; java; objective-c; flutter; ansible,Перейти в ML/Data Science,en,online
mentee_f4dab640,Денис Попов,mentee,middle,Data Science,ML Engineer,python; airflow; numpy; sql; spark,Сменить специальность,en,online
mentee_22eed886,Максим Козлов,mentee,junior,Data Science,ML Engineer,numpy; sql,Вырасти до Lead/Principal,ru+en,online
mentee_e4c37226,Ирина Смирнов,mentee,middle,Product Analytics,Growth Analyst,mixpanel; statistics; python; tableau,Улучшить soft skills,ru,online
mentee_2fd8af02,Екатерина Морозов,mentee,senior,Game Development,Game Designer,,Вырасти до Lead/Principal,en,
mentee_1f0f2600,Ирина Степанов,mentee,middle,Frontend,Frontend Developer,react; figma; graphql; css; next.js,Вырасти до Senior,ru,online
mentee_2aabc150,Александр Новиков,mentee,senior,Product Analytics,Marketing Analyst,amplitude; excel; mixpanel; tableau; google analytics; a/b testing; statistics; sql; python,Разобраться с архитектурой,ru,offline
mentee_7aa548f7,Дарья Макаров,mentee,junior,Frontend,UI Developer,graphql; angular,Сменить специальность,ru,online
mentee_33576570,Светлана Егоров,mentee,junior,Blockchain,Web3 Engineer,rust; truffle; hardhat,Вырасти до Senior,ru,online
mentee_3321d99d,Григорий Соколов,mentee,junior,Blockchain,Blockchain Developer,ethers.js; smart contracts; ethereum,Улучшить soft skills,,
mentee_ff62def6,Ксения Зайцев,mentee,junior,Blockchain,DeFi Developer,nft; ethers.js,Освоить облачные технологии,,
mentee_919c2c79,Дарья Никитин,mentee,middle,Game Development,Game Designer,physics simulation; blender; unity; c++,Перейти в ML/Data Science,ru,offline
mentee_c7606828,Денис Смирнов,mentee,middle,Data Science,ML Engineer,sql; numpy; R; kafka; statistics; pytorch,Научиться менеджменту в IT,ru,hybrid
mentee_bab06230,Кирилл Попов,mentee,junior,Backend,API Developer,docker; redis; mongodb; penetration testing,Начать карьеру в IT,ru,online
mentee_56faf112,Максим Михайлов,mentee,middle,Game Development,Game Designer,opengl; c#; blender; c++; git; unity; physics simulation,Научиться менеджменту в IT,ru,hybrid
mentee_32c270c8,Михаил Семёнов,mentee,senior,DevOps,SRE,bash; prometheus; docker; ansible; grafana; aws; gcp; kubernetes; jenkins; azure,Начать карьеру в IT,,
mentee_1ea4e9e4,Надежда Морозов,mentee,junior,Game Development,Unreal Engine Developer,,,,
mentee_42b130c4,Антон Михайлов,mentee,middle,Mobile,Android Developer,,,ru,online
mentee_c914f309,Полина Козлов,mentee,middle,Blockchain,Crypto Analyst,solidity; smart contracts; defi; ethereum; truffle; nft; rust,Подготовиться к интервью в FAANG,ru,hybrid
mentee_6203f22c,Наталья Зайцев,mentee,junior,DevOps,Cloud Engineer,docker; azure; aws; prometheus; grafana,Научиться менеджменту в IT,ru,online
mentee_35c26fd3,Арсений Никитин,mentee,middle,Product Analytics,Retention Analyst,sql; mixpanel; power bi; looker; a/b testing; rust,Освоить облачные технологии,ru,hybrid
mentee_3abc026b,Екатерина Никитин,mentee,junior,Data Science,Research Scientist,scikit-learn; docker; mlflow; statistics; sql,Перейти в другую компанию,ru,online
mentee_e86dae75,Владимир Семёнов,mentee,junior,Mobile,Flutter Developer,java; rest api,Разобраться с системным дизайном,,
mentee_0e3640f1,Надежда Борисов,mentee,senior,Mobile,Flutter Developer,java; flutter; swift; xcode; firebase; objective-c; kotlin; aws,Запустить собственный продукт,en,online
mentee_483091b8,Владимир Никитин,mentee,middle,Mobile,Flutter Developer,rest api; flutter; android studio; objective-c; git; ui/ux; xcode,Пройти сертификацию,ru+en,hybrid
mentee_5515fbb3,Артём Соловьёв,mentee,senior,Game Development,Game Developer,unity; physics simulation; c#; c++; git; opengl; azure,Освоить облачные технологии,ru,offline
mentee_00f13d54,Дмитрий Иванов,mentee,middle,Blockchain,DeFi Developer,ethereum; defi; solidity; hardhat; python; nft; ethers.js; typescript,Разобраться с архитектурой,en,hybrid
mentee_98bfdff0,Татьяна Соколов,mentee,senior,Backend,Software Engineer,docker; sql; postgresql; microservices; redis; java; grpc; node.js; kubernetes; rest api; python,Улучшить soft skills,en,online
mentee_77545e3a,Тимур Козлов,mentee,senior,Data Science,ML Engineer,python; kafka; statistics; numpy; pandas; spark; sql; pytorch; R,Освоить новый стек,ru+en,hybrid
mentee_3a356d8d,Надежда Егоров,mentee,senior,DevOps,SRE,docker; kubernetes; bash; jenkins; azure; helm; terraform; aws,Сменить специальность,ru,hybrid
mentee_119cecbe,Татьяна Степанов,mentee,middle,QA,QA Engineer,test planning; python; appium; jira; postman; pytest; cypress,Разобраться с системным дизайном,,
mentee_c8440c83,Роман Николаев,mentee,junior,QA,Test Automation Engineer,allure; appium; selenium; cypress; sql,Разобраться с системным дизайном,ru,online
mentee_1562e414,Тамара Фёдоров,mentee,junior,Blockchain,Crypto Analyst,typescript; web3.js; truffle,Научиться менеджменту в IT,en,offline
mentee_50fe4960,Дарья Семёнов,mentee,middle,Mobile,Flutter Developer,,Разобраться с системным дизайном,en,online
mentee_f371f658,Григорий Лебедев,mentee,junior,QA,Performance Tester,selenium; pytest,Вырасти до Senior,ru,hybrid
mentee_54538972,Анна Никитин,mentee,senior,Data Science,MLOps Engineer,scikit-learn; mlflow; airflow; numpy; sql; kafka; docker; spark; R; pytorch,Вырасти до Senior,ru,online
mentee_f8253e5d,Владимир Николаев,mentee,junior,Backend,Java Developer,,,ru,online
mentee_0c65328f,Тимур Зайцев,mentee,junior,Data Science,Computer Vision Engineer,spark; pytorch; sql; kafka,Вырасти до Lead/Principal,,
mentee_a9652519,Андрей Алексеев,mentee,junior,Blockchain,Crypto Analyst,python; truffle; nft; rust,,ru,hybrid
mentee_13f50965,Арсений Петров,mentee,junior,Blockchain,Smart Contract Developer,typescript; nft,Сменить специальность,ru,online
mentee_98a38d5e,Дарья Михайлов,mentee,middle,QA,QA Lead,test planning; postman; jira; allure; pytest; sql,Освоить облачные технологии,ru,online
mentee_1d3ca514,Арсений Николаев,mentee,senior,QA,Manual Tester,pytest; jmeter; test planning; appium; postman; selenium,,ru,offline
mentee_5e980320,Александр Попов,mentee,senior,Mobile,Kotlin Developer,react native; git; objective-c; ui/ux; java; rest api; flutter; firebase,Улучшить soft skills,ru,online
mentee_588ddec4,Анна Попов,mentee,junior,Data Science,BI Analyst,pytorch; tensorflow; statistics,Сменить специальность,,online
mentee_74bd9f7f,Ксения Морозов,mentee,junior,Backend,Go Developer,sql; python,Вырасти до Senior,ru,online
mentee_e9722636,Светлана Петров,mentee,junior,Frontend,Angular Developer,,,ru,online
mentee_87aaca4d,Полина Алексеев,mentee,junior,QA,QA Lead,,,,
