id,name,level_raw,level_score,domain,profession,language,language_set,format,format_set,skills_normalized,skills_missing,domain_vector,domain_fallback
mentee_a0538645,Надежда Степанов,junior,1,Product Analytics,Growth Analyst,ru,ru,hybrid,hybrid|offline|online,amplitude; excel; power bi; looker; sql; appium,0,"0.0349,0.0294,0.0178,0.0705,0.0081,0.0123,0.0212,0.0049,0.763,0.0378",0
mentee_3ddf1a6c,Роман Зайцев,junior,1,Backend,Backend Developer,ru,ru,online,online,node.js; mongodb; c#,0,"0.6448,0.0211,0.0194,0.0856,0.0567,0.0093,0.0146,0.0758,0.0378,0.0349",0
mentee_baf07f05,Светлана Попов,senior,3,Backend,Go Developer,ru,ru,online,online,rest api; docker; python; java; node.js; go,0,"0.6227,0.023,0.0175,0.0864,0.062,0.0036,0.0215,0.0874,0.0409,0.035",0
mentee_56e0cbee,Юлия Зайцев,junior,1,QA,QA Engineer,en,en,online,online,cypress; jira; python; sql; postman; docker,0,"0.0387,0.0254,0.0194,0.0346,0.0137,0.0095,0.0463,0.0286,0.0471,0.7367",0
mentee_3d2b4edc,Антон Петров,junior,1,Data Science,BI Analyst,ru,ru,offline,offline,airflow; pandas,0,"0.095,0.0195,0.0157,0.6874,0.0327,0.0077,0.0146,0.0101,0.0806,0.0366",0
mentee_6eadd732,Михаил Николаев,junior,1,Backend,Database Engineer,ru,ru,online,online,redis; rest api,0,"0.6365,0.017,0.0142,0.0913,0.0535,0.0035,0.0203,0.0843,0.0421,0.0372",0
mentee_be3625c9,Дарья Семёнов,middle,2,Mobile,Android Developer,ru,ru,hybrid,hybrid|offline|online,,1,"0.074,0.01,0.0049,0.0086,0.005,0.0058,0.0347,0.818,0.0102,0.0288",0
mentee_02bfb11a,Мария Кузнецов,junior,1,Product Analytics,Web Analyst,ru,ru,online,online,a/b testing; mixpanel; google analytics,0,"0.0418,0.0249,0.0186,0.0721,0.0046,0.0118,0.0191,0.0035,0.7682,0.0355",0
mentee_f262dc15,Дарья Николаев,junior,1,Product Analytics,Retention Analyst,ru,ru,hybrid,hybrid|offline|online,looker; a/b testing,0,"0.0357,0.0225,0.0213,0.0654,0.0071,0.0088,0.0237,0.0056,0.7712,0.0388",0
mentee_cb8dd468,Никита Макаров,junior,1,Backend,API Developer,,,,,node.js; rest api; microservices; sql,0,"0.6304,0.0198,0.0192,0.0887,0.0593,0.008,0.0174,0.0719,0.0431,0.0423",0
mentee_6261e3c3,Елена Смирнов,senior,3,Data Science,ML Engineer,en,en,online,online,pytorch; r; numpy; kafka; tensorflow; docker,0,"0.0823,0.0191,0.0171,0.7122,0.0278,0.0077,0.019,0.0116,0.0722,0.0311",0
mentee_f85a95b6,Вера Козлов,junior,1,Frontend,Web Developer,ru+en,en|ru,hybrid,hybrid|offline|online,css; react; javascript,0,"0.0043,0.052,0.0057,0.0051,0.0126,0.8926,0.0064,0.0075,0.0086,0.0052",0
mentee_92571eea,Мария Волков,senior,3,Mobile,Android Developer,en,en,online,online,firebase; ui/ux; flutter; react native; objective-c; java; kotlin; git; swift; xcode,0,"0.074,0.01,0.0049,0.0086,0.005,0.0058,0.0347,0.818,0.0102,0.0288",0
mentee_0aa63fb5,Мария Алексеев,middle,2,DevOps,Cloud Engineer,,,,,,1,"0.0596,0.0067,0.0454,0.0325,0.81,0.0096,0.0105,0.0094,0.0097,0.0066",0
mentee_8a2e9aa5,Кирилл Фёдоров,senior,3,Product Analytics,Growth Analyst,,,online,online,amplitude; sql; looker; power bi; google analytics; excel; statistics,0,"0.0349,0.0294,0.0178,0.0705,0.0081,0.0123,0.0212,0.0049,0.763,0.0378",0
mentee_02012a6d,Екатерина Новиков,middle,2,Game Development,Unreal Engine Developer,en,en,online,online,python; blender; unity; unreal engine; git,0,"0.0145,0.0168,0.0149,0.0145,0.0101,0.0121,0.8118,0.0363,0.0192,0.0497",0
mentee_9cb6466b,Алексей Новиков,senior,3,Backend,Python Developer,ru+en,en|ru,hybrid,hybrid|offline|online,grpc; redis; python; docker; rest api; node.js,0,"0.6323,0.018,0.0178,0.085,0.0689,0.0116,0.0185,0.0788,0.0375,0.0316",0
mentee_bc65a1ba,Виктория Морозов,middle,2,Backend,Systems Architect,ru,ru,online,online,grpc; sql; docker; go; node.js; redis; mongodb,0,"0.6242,0.0178,0.0146,0.0912,0.061,0.0036,0.0225,0.0912,0.0412,0.0326",0
mentee_fa12ead9,Вера Николаев,junior,1,Data Science,MLOps Engineer,,,online,online,spark; statistics; r; kafka; c#,0,"0.0847,0.0174,0.0134,0.7091,0.0369,0.0078,0.0172,0.008,0.0725,0.0328",0
mentee_d27c2467,Татьяна Андреев,middle,2,Blockchain,Web3 Engineer,ru,ru,,,,1,"0.0168,0.8254,0.0251,0.0187,0.0069,0.0392,0.0199,0.0093,0.0194,0.0193",0
mentee_27213f3d,Тамара Борисов,junior,1,Data Science,Data Scientist,,,online,online,spark; sql,0,"0.0862,0.0257,0.0173,0.6936,0.0277,0.0088,0.0191,0.0097,0.0789,0.0331",0
mentee_10f168da,Александр Захаров,middle,2,Product Analytics,CRM Analyst,,,,,,1,"0.0354,0.0209,0.0238,0.078,0.0057,0.0096,0.0195,0.0088,0.7583,0.0401",0
mentee_684fa1d2,Антон Семёнов,senior,3,Backend,Python Developer,ru,ru,,,,1,"0.6323,0.018,0.0178,0.085,0.0689,0.0116,0.0185,0.0788,0.0375,0.0316",0
mentee_5fa7682e,Антон Козлов,senior,3,Backend,Go Developer,,,online,online,postgresql; microservices; kafka; kubernetes; docker; redis; grpc; java; mongodb; node.js,0,"0.6227,0.023,0.0175,0.0864,0.062,0.0036,0.0215,0.0874,0.0409,0.035",0
mentee_214c0ce0,Елена Семёнов,middle,2,Game Development,Game Designer,ru,ru,online,online,blender; c++; git; opengl,0,"0.0217,0.0235,0.016,0.0213,0.0093,0.0082,0.7925,0.0374,0.0241,0.046",0
mentee_21a9acf3,Виктория Морозов,junior,1,Frontend,Angular Developer,,,hybrid,hybrid|offline|online,css; javascript; vue; tailwind; figma,0,"0.004,0.0416,0.0047,0.0075,0.0061,0.9095,0.0055,0.002,0.007,0.0121",0
mentee_bd150f88,Кирилл Фёдоров,junior,1,Blockchain,DeFi Developer,ru,ru,offline,offline,defi; ethereum; truffle; rust; nft; sql,0,"0.0169,0.8203,0.0203,0.0169,0.005,0.0485,0.0238,0.0067,0.0244,0.0172",0
mentee_68ba9f13,Ольга Николаев,middle,2,Frontend,TypeScript Developer,ru,ru,online,online,javascript; css; figma; graphql; tailwind; typescript; html; vue; c#,0,"0.0086,0.0491,0.0095,0.0101,0.0086,0.8805,0.0127,0.0043,0.0105,0.0061",0
mentee_a84132ef,Елена Захаров,junior,1,Mobile,Kotlin Developer,ru,ru,online,online,xcode; kotlin; rest api; swift; git,0,"0.0798,0.0095,0.0094,0.008,0.0096,0.0092,0.0325,0.8107,0.0043,0.027",0
mentee_6d876c56,Алексей Соловьёв,senior,3,Data Science,Data Scientist,ru,ru,online,online,mlflow; numpy; scikit-learn; r; spark; pandas,0,"0.0862,0.0257,0.0173,0.6936,0.0277,0.0088,0.0191,0.0097,0.0789,0.0331",0
mentee_563d4be9,Екатерина Захаров,junior,1,Blockchain,Solidity Developer,ru+en,en|ru,online,online,python; web3.js; hardhat; network security,0,"0.0202,0.8232,0.0212,0.015,0.0032,0.0518,0.0169,0.0072,0.0234,0.018",0
mentee_d9baaef3,Татьяна Попов,senior,3,DevOps,DevOps Engineer,ru,ru,offline,offline,helm; bash; linux; kubernetes; prometheus; docker; github actions; jenkins,0,"0.0643,0.0037,0.0462,0.0359,0.8063,0.0048,0.011,0.0109,0.0114,0.0054",0
mentee_e9f9925b,Полина Волков,junior,1,QA,Test Analyst,ru,ru,hybrid,hybrid|offline|online,git; postman; jira; allure; python,0,"0.0357,0.0184,0.0172,0.0346,0.0031,0.0118,0.0482,0.03,0.0469,0.7541",0
mentee_53d9c9dc,Вера Новиков,middle,2,Product Analytics,CRM Analyst,ru,ru,online,online,amplitude; python; mixpanel; excel; statistics; looker,0,"0.0354,0.0209,0.0238,0.078,0.0057,0.0096,0.0195,0.0088,0.7583,0.0401",0
mentee_ae2955fa,Юлия Морозов,senior,3,Frontend,UI Developer,ru+en,en|ru,,,,1,"0.0054,0.0507,0.0054,0.0092,0.0079,0.893,0.0057,0.0022,0.0107,0.0098",0
mentee_18838b3b,Анна Михайлов,middle,2,Cybersecurity,Security Architect,en,en,online,online,,1,"0.0145,0.0202,0.8354,0.0142,0.0483,0.007,0.0196,0.0106,0.0172,0.013",0
mentee_f969e63d,Ксения Зайцев,middle,2,Product Analytics,A/B Test Specialist,en,en,online,online,python; mixpanel; amplitude; power bi,0,"0.0393,0.0205,0.0233,0.0759,0.0047,0.007,0.0261,0.0125,0.7477,0.0429",0
mentee_5dc89f7d,Светлана Морозов,middle,2,Mobile,React Native Developer,en,en,hybrid,hybrid|offline|online,java; rest api; xcode; ui/ux; git; kotlin; github actions,0,"0.0682,0.0094,0.0081,0.0146,0.0156,0.0039,0.0394,0.8003,0.0059,0.0347",0
mentee_fb54af75,Елена Никитин,middle,2,DevOps,SRE,ru,ru,online,online,grafana; azure; linux; jenkins; kubernetes; ansible; bash; prometheus,0,"0.0668,0.0051,0.0499,0.0289,0.8041,0.013,0.0115,0.0061,0.0067,0.0077",0
mentee_d5544a0f,Ольга Орлов,junior,1,Data Science,MLOps Engineer,ru,ru,online,online,pandas; python; mlflow; tensorflow; spark,0,"0.0847,0.0174,0.0134,0.7091,0.0369,0.0078,0.0172,0.008,0.0725,0.0328",0
mentee_40af99f1,Валерия Егоров,senior,3,Product Analytics,Product Analyst,ru+en,en|ru,online,online,statistics; sql; google analytics; a/b testing; power bi; mixpanel,0,"0.0438,0.0202,0.0214,0.0716,0.0072,0.0103,0.0242,0.0067,0.7522,0.0425",0
mentee_ab48fdfb,Максим Захаров,middle,2,Blockchain,Solidity Developer,ru,ru,online,online,defi; nft; truffle; python; typescript; ethers.js; ethereum; smart contracts; microservices,0,"0.0202,0.8232,0.0212,0.015,0.0032,0.0518,0.0169,0.0072,0.0234,0.018",0
mentee_e86bed2c,Сергей Иванов,junior,1,DevOps,SRE,en,en,online,online,gcp; prometheus; linux; helm; jenkins; java,0,"0.0668,0.0051,0.0499,0.0289,0.8041,0.013,0.0115,0.0061,0.0067,0.0077",0
mentee_dc8a0ebd,Вера Андреев,middle,2,Cybersecurity,Incident Response Analyst,ru,ru,hybrid,hybrid|offline|online,metasploit; burp suite; owasp; wireshark; linux; flutter,0,"0.0196,0.0247,0.8267,0.0173,0.0407,0.0048,0.0185,0.0073,0.0222,0.0181",0
mentee_be51c05e,Алина Макаров,middle,2,Blockchain,Web3 Engineer,ru,ru,online,online,typescript; defi; python; ethereum; nft; rust; sql,0,"0.0168,0.8254,0.0251,0.0187,0.0069,0.0392,0.0199,0.0093,0.0194,0.0193",0
mentee_d5ba3ae7,Елена Степанов,junior,1,Blockchain,Solidity Developer,ru+en,en|ru,online,online,ethers.js; nft,0,"0.0202,0.8232,0.0212,0.015,0.0032,0.0518,0.0169,0.0072,0.0234,0.018",0
mentee_210735eb,Виктория Морозов,middle,2,Product Analytics,Product Analyst,ru+en,en|ru,hybrid,hybrid|offline|online,looker; python; google analytics; tableau; amplitude; excel,0,"0.0438,0.0202,0.0214,0.0716,0.0072,0.0103,0.0242,0.0067,0.7522,0.0425",0
mentee_4b23fcf9,Екатерина Захаров,middle,2,Product Analytics,Product Analyst,ru,ru,online,online,a/b testing; sql; looker; excel; amplitude; statistics; python,0,"0.0438,0.0202,0.0214,0.0716,0.0072,0.0103,0.0242,0.0067,0.7522,0.0425",0
mentee_7fd2511f,Ирина Семёнов,junior,1,Data Science,Research Scientist,ru+en,en|ru,online,online,,1,"0.0847,0.0166,0.0225,0.7038,0.0269,0.0117,0.0174,0.0093,0.0745,0.0327",0
mentee_fa4983f2,Дарья Козлов,junior,1,Blockchain,Smart Contract Developer,ru,ru,online,online,ethereum; defi; kafka,0,"0.0202,0.8158,0.0206,0.0176,0.0051,0.0538,0.0169,0.0084,0.0222,0.0194",0
mentee_fb40a52e,Виктория Соловьёв,senior,3,Cybersecurity,Security Architect,ru+en,en|ru,online,online,siem; wireshark; cryptography; nmap; network security; burp suite; python; linux; penetration testing,0,"0.0145,0.0202,0.8354,0.0142,0.0483,0.007,0.0196,0.0106,0.0172,0.013",0
mentee_e8aeb3f1,Дарья Соловьёв,middle,2,Cybersecurity,Incident Response Analyst,,,,,,1,"0.0196,0.0247,0.8267,0.0173,0.0407,0.0048,0.0185,0.0073,0.0222,0.0181",0
mentee_10ff9150,Денис Волков,middle,2,Product Analytics,Retention Analyst,,,,,a/b testing; looker; power bi; excel; google analytics; python,0,"0.0357,0.0225,0.0213,0.0654,0.0071,0.0088,0.0237,0.0056,0.7712,0.0388",0
mentee_22080b8b,Михаил Морозов,middle,2,DevOps,CI/CD Engineer,en,en,online,online,prometheus; grafana; aws; helm; terraform; gcp; docker; pytest,0,"0.0539,0.0073,0.0446,0.0262,0.8111,0.012,0.0183,0.0133,0.0043,0.009",0
mentee_aade1317,Наталья Кузнецов,senior,3,Data Science,Data Analyst,ru+en,en|ru,offline,offline,r; tensorflow; pytorch; mlflow; sql; pandas; docker; kafka; spark,0,"0.0884,0.0148,0.0137,0.7227,0.0279,0.0093,0.0228,0.0055,0.0657,0.0291",0
mentee_c3f87132,Тамара Кузнецов,senior,3,Product Analytics,Retention Analyst,ru,ru,online,online,looker; mixpanel; amplitude; python; a/b testing; sql; tableau,0,"0.0357,0.0225,0.0213,0.0654,0.0071,0.0088,0.0237,0.0056,0.7712,0.0388",0
mentee_e96a614e,Полина Васильев,junior,1,Data Science,MLOps Engineer,ru,ru,online,online,airflow; sql; mlflow,0,"0.0847,0.0174,0.0134,0.7091,0.0369,0.0078,0.0172,0.008,0.0725,0.0328",0
mentee_e34823ef,Наталья Михайлов,senior,3,Blockchain,Crypto Analyst,,,,,truffle; python; nft; typescript; solidity; defi; rust; ethers.js; web3.js; ui/ux,0,"0.0177,0.8215,0.0209,0.0167,0.0053,0.0481,0.0184,0.0147,0.0194,0.0172",0
mentee_98906821,Дарья Соколов,middle,2,QA,QA Lead,ru+en,en|ru,,,,1,"0.0365,0.016,0.0163,0.0362,0.006,0.0138,0.0503,0.0255,0.0415,0.7579",0
mentee_5f348d2d,Ирина Макаров,junior,1,QA,Manual Tester,ru,ru,hybrid,hybrid|offline|online,selenium; test planning; jira; cypress; mlflow,0,"0.032,0.0183,0.0183,0.0316,0.0084,0.01,0.052,0.0289,0.0394,0.761",0
mentee_52b2e469,Максим Орлов,junior,1,DevOps,Platform Engineer,en,en,hybrid,hybrid|offline|online,linux; jenkins; bash,0,"0.0668,0.0059,0.0393,0.0284,0.8191,0.011,0.0068,0.0076,0.0084,0.0067",0
mentee_34faa17c,Михаил Степанов,middle,2,Data Science,MLOps Engineer,ru+en,en|ru,online,online,docker; numpy; pandas; tensorflow; pytorch; sql; grafana,0,"0.0847,0.0174,0.0134,0.7091,0.0369,0.0078,0.0172,0.008,0.0725,0.0328",0
mentee_73b872cd,Денис Зайцев,middle,2,Cybersecurity,Incident Response Analyst,en,en,,,,1,"0.0196,0.0247,0.8267,0.0173,0.0407,0.0048,0.0185,0.0073,0.0222,0.0181",0
mentee_97d19851,Наталья Захаров,junior,1,Backend,Go Developer,ru+en,en|ru,hybrid,hybrid|offline|online,mongodb; rest api; grpc,0,"0.6227,0.023,0.0175,0.0864,0.062,0.0036,0.0215,0.0874,0.0409,0.035",0
mentee_1eb5bf54,Алина Волков,junior,1,QA,QA Engineer,en,en,online,online,,1,"0.0387,0.0254,0.0194,0.0346,0.0137,0.0095,0.0463,0.0286,0.0471,0.7367",0
mentee_7e1c3b43,Денис Иванов,junior,1,Mobile,iOS Developer,ru,ru,online,online,ui/ux; react native; kotlin; rest api,0,"0.074,0.0133,0.0085,0.0086,0.0116,0.0073,0.0392,0.8021,0.008,0.0275",0
mentee_5775225d,Екатерина Попов,junior,1,Data Science,MLOps Engineer,ru+en,en|ru,offline,offline,airflow; numpy; sql,0,"0.0847,0.0174,0.0134,0.7091,0.0369,0.0078,0.0172,0.008,0.0725,0.0328",0
mentee_4f2940ad,Виктория Орлов,middle,2,Blockchain,Crypto Analyst,ru,ru,online,online,nft; hardhat; defi; python; react native,0,"0.0177,0.8215,0.0209,0.0167,0.0053,0.0481,0.0184,0.0147,0.0194,0.0172",0
mentee_431c24f3,Кирилл Смирнов,junior,1,Mobile,Mobile Architect,ru,ru,hybrid,hybrid|offline|online,xcode; react native; kotlin; rest api; ui/ux,0,"0.0885,0.0063,0.005,0.007,0.0089,0.0057,0.0366,0.7975,0.0064,0.0381",0
mentee_4d563c19,Надежда Соколов,junior,1,Mobile,Android Developer,ru+en,en|ru,online,online,git; react native,0,"0.074,0.01,0.0049,0.0086,0.005,0.0058,0.0347,0.818,0.0102,0.0288",0
mentee_72b8eb9e,Ольга Козлов,junior,1,Blockchain,Blockchain Developer,ru,ru,online,online,,1,"0.0231,0.8127,0.0219,0.0156,0.006,0.0466,0.0239,0.0072,0.0235,0.0194",0
mentee_a7edcf2e,Татьяна Степанов,middle,2,Data Science,Data Analyst,ru,ru,,,,1,"0.0884,0.0148,0.0137,0.7227,0.0279,0.0093,0.0228,0.0055,0.0657,0.0291",0
mentee_3e9da764,Екатерина Никитин,junior,1,Frontend,Angular Developer,ru,ru,online,online,webpack; tailwind,0,"0.004,0.0416,0.0047,0.0075,0.0061,0.9095,0.0055,0.002,0.007,0.0121",0
mentee_e2650cc4,Антон Фёдоров,junior,1,Blockchain,Blockchain Developer,ru,ru,hybrid,hybrid|offline|online,truffle; solidity; typescript; nft; defi,0,"0.0231,0.8127,0.0219,0.0156,0.006,0.0466,0.0239,0.0072,0.0235,0.0194",0
mentee_d4d7565a,Артём Васильев,junior,1,Backend,Java Developer,ru+en,en|ru,online,online,kubernetes; rest api; mongodb; docker,0,"0.6078,0.0296,0.0168,0.0856,0.0706,0.0073,0.0234,0.0744,0.0485,0.0358",0
mentee_5267f8a9,Екатерина Борисов,junior,1,Blockchain,DeFi Developer,,,,,,1,"0.0169,0.8203,0.0203,0.0169,0.005,0.0485,0.0238,0.0067,0.0244,0.0172",0
mentee_9a593eaa,Полина Семёнов,middle,2,Game Development,Gameplay Programmer,ru,ru,offline,offline,physics simulation; opengl; game design; git; c++,0,"0.021,0.022,0.0175,0.02,0.0098,0.0083,0.7923,0.0373,0.0261,0.0457",0
mentee_295a12ec,Артём Кузнецов,junior,1,Frontend,Angular Developer,ru,ru,online,online,typescript; css; allure,0,"0.004,0.0416,0.0047,0.0075,0.0061,0.9095,0.0055,0.002,0.007,0.0121",0
mentee_146e6ff8,Полина Борисов,middle,2,Mobile,Swift Developer,ru,ru,online,online,xcode; ui/ux; java; android studio; rust,0,"0.0881,0.0107,0.0106,0.009,0.0074,0.0037,0.0355,0.7934,0.0092,0.0323",0
mentee_3cb6f624,Екатерина Захаров,middle,2,Mobile,Kotlin Developer,en,en,online,online,ui/ux; react native; firebase; git; swift; xcode,0,"0.0798,0.0095,0.0094,0.008,0.0096,0.0092,0.0325,0.8107,0.0043,0.027",0
mentee_c38ece95,Андрей Борисов,junior,1,Cybersecurity,SOC Analyst,ru,ru,online,online,network security; metasploit; burp suite; pandas,0,"0.0156,0.0234,0.8079,0.0173,0.0436,0.0052,0.0258,0.0149,0.0248,0.0215",0
mentee_8c7a2a41,Надежда Николаев,junior,1,Frontend,Vue Developer,ru,ru,online,online,javascript; react; kafka,0,"0.007,0.0469,0.0059,0.0079,0.0091,0.8851,0.0088,0.0044,0.0091,0.0157",0
mentee_1973647a,Никита Захаров,junior,1,Blockchain,DeFi Developer,ru,ru,online,online,smart contracts; defi; a/b testing,0,"0.0169,0.8203,0.0203,0.0169,0.005,0.0485,0.0238,0.0067,0.0244,0.0172",0
mentee_9a32941d,Ольга Захаров,senior,3,Data Science,Data Scientist,ru,ru,online,online,,1,"0.0862,0.0257,0.0173,0.6936,0.0277,0.0088,0.0191,0.0097,0.0789,0.0331",0
mentee_af14f89a,Максим Павлов,junior,1,QA,Test Automation Engineer,,,,,pytest; jira; selenium; git; mongodb,0,"0.0335,0.0177,0.0178,0.0284,0.0066,0.0075,0.0436,0.0317,0.0358,0.7772",0
mentee_ec308a46,Виктория Фёдоров,middle,2,Blockchain,DeFi Developer,ru,ru,offline,offline,defi; solidity; smart contracts; ethers.js,0,"0.0169,0.8203,0.0203,0.0169,0.005,0.0485,0.0238,0.0067,0.0244,0.0172",0
mentee_3762dccf,Вера Алексеев,junior,1,QA,Test Analyst,,,online,online,jira; cypress,0,"0.0357,0.0184,0.0172,0.0346,0.0031,0.0118,0.0482,0.03,0.0469,0.7541",0
mentee_39ac9df3,Алексей Захаров,junior,1,Game Development,Gameplay Programmer,,,,,opengl; c#; c++; unreal engine; terraform,0,"0.021,0.022,0.0175,0.02,0.0098,0.0083,0.7923,0.0373,0.0261,0.0457",0
mentee_1d7b2cc1,Владимир Семёнов,junior,1,Backend,API Developer,ru,ru,online,online,rest api; kubernetes; mongodb; grpc; microservices,0,"0.6304,0.0198,0.0192,0.0887,0.0593,0.008,0.0174,0.0719,0.0431,0.0423",0
mentee_a3c4f653,Кирилл Павлов,junior,1,Cybersecurity,Incident Response Analyst,ru,ru,online,online,,1,"0.0196,0.0247,0.8267,0.0173,0.0407,0.0048,0.0185,0.0073,0.0222,0.0181",0
mentee_e259dda7,Анна Николаев,junior,1,Cybersecurity,Security Engineer,en,en,online,online,siem; network security; owasp; penetration testing; wireshark,0,"0.0189,0.0201,0.8251,0.0179,0.0412,0.0105,0.017,0.0053,0.0267,0.0173",0
mentee_3410883e,Роман Макаров,junior,1,Frontend,Frontend Developer,ru,ru,offline,offline,vite; graphql; siem,0,"0.0061,0.0449,0.0074,0.0087,0.0131,0.8929,0.0064,0.0044,0.0072,0.0087",0
mentee_1c80c96a,Роман Андреев,junior,1,Cybersecurity,AppSec Engineer,ru,ru,online,online,cryptography; linux; docker,0,"0.0195,0.026,0.8141,0.016,0.0521,0.0034,0.0211,0.0032,0.0272,0.0175",0
mentee_ffdaf56a,Наталья Волков,senior,3,Blockchain,Smart Contract Developer,,,,,truffle; typescript; defi; ethers.js; web3.js; ethereum; python; rust,0,"0.0202,0.8158,0.0206,0.0176,0.0051,0.0538,0.0169,0.0084,0.0222,0.0194",0
mentee_44f31e4c,Полина Павлов,middle,2,Game Development,Game Developer,ru,ru,hybrid,hybrid|offline|online,unity; opengl; blender; c#; unreal engine; game design,0,"0.0164,0.0182,0.0174,0.0172,0.0112,0.0057,0.8087,0.0336,0.0242,0.0473",0
mentee_da284102,Григорий Захаров,junior,1,Cybersecurity,Incident Response Analyst,ru,ru,online,online,cryptography; linux,0,"0.0196,0.0247,0.8267,0.0173,0.0407,0.0048,0.0185,0.0073,0.0222,0.0181",0
mentee_b748eab9,Михаил Лебедев,junior,1,Blockchain,Smart Contract Developer,ru,ru,online,online,truffle; rust; nft; python,0,"0.0202,0.8158,0.0206,0.0176,0.0051,0.0538,0.0169,0.0084,0.0222,0.0194",0
mentee_8917038f,Надежда Семёнов,junior,1,Product Analytics,Retention Analyst,,,,,,1,"0.0357,0.0225,0.0213,0.0654,0.0071,0.0088,0.0237,0.0056,0.7712,0.0388",0
mentee_2656b426,Антон Лебедев,junior,1,Cybersecurity,Incident Response Analyst,ru,ru,hybrid,hybrid|offline|online,wireshark; network security; nmap,0,"0.0196,0.0247,0.8267,0.0173,0.0407,0.0048,0.0185,0.0073,0.0222,0.0181",0
mentee_ff0234b4,Сергей Новиков,middle,2,Backend,Software Engineer,ru+en,en|ru,,,,1,"0.6562,0.0199,0.0162,0.081,0.0647,0.0036,0.0154,0.0786,0.0347,0.0299",0
mentee_d8a2d9cb,Максим Соловьёв,junior,1,QA,QA Engineer,ru,ru,online,online,appium; selenium; jira; git; test planning,0,"0.0387,0.0254,0.0194,0.0346,0.0137,0.0095,0.0463,0.0286,0.0471,0.7367",0
