id,name,role,level,domain,profession,skills,language,format,experience_years,available,hours_per_week,boosted,boost_k
mentor_085cc4b3,Алина Фёдоров,mentor,lead,DevOps,Cloud Engineer,bash; ansible; github actions; helm; jenkins; docker; prometheus; aws; linux; terraform; kubernetes; azure; grafana,ru,online,19,True,5,False,0.0
mentor_9163ff57,Виктория Лебедев,mentor,middle,Product Analytics,CRM Analyst,,,,5,True,5,False,0.0
mentor_e6d22ba3,Анна Борисов,mentor,senior,Cybersecurity,SOC Analyst,wireshark; siem; cryptography; owasp; metasploit; burp suite; network security; nmap,ru,offline,8,True,3,False,0.0
mentor_d26e72e7,Ольга Зайцев,mentor,middle,Game Development,Technical Artist,c++; opengl; unreal engine; c#; unity; game design; git; blender,ru,online,2,True,5,False,0.0
mentor_6c56c753,Павел Васильев,mentor,lead,Frontend,Web Developer,vite; webpack; javascript; graphql; typescript; figma; vue; tailwind; react; css; html; next.js; angular,en,hybrid,15,True,3,False,0.0
mentor_3849f98b,Наталья Никитин,mentor,senior,Cybersecurity,SOC Analyst,metasploit; cryptography; linux; python; nmap; wireshark; owasp,ru,online,8,True,1,False,0.0
mentor_d6833a52,Кирилл Михайлов,mentor,senior,Backend,Backend Developer,docker; grpc; go; postgresql; kafka; mongodb; sql; rest api; java; node.js; python,ru,hybrid,10,False,0,False,0.0
mentor_dd6f22dc,Денис Соловьёв,mentor,lead,Game Development,Unreal Engine Developer,lua; git; game design; opengl; physics simulation; blender; unity; c#,en,online,20,True,4,False,0.0
mentor_cad81e83,Денис Кузнецов,mentor,middle,Blockchain,Smart Contract Developer,defi; ethers.js; web3.js; solidity; ethereum; typescript; nft,,online,5,True,8,True,0.15
mentor_ed6c3567,Роман Зайцев,mentor,middle,Blockchain,Web3 Engineer,solidity; typescript; rust; nft; truffle; python; hardhat; ethereum; ethers.js,ru,online,2,True,2,False,0.0
mentor_603eaf76,Алексей Семёнов,mentor,senior,Product Analytics,A/B Test Specialist,google analytics; amplitude; python; mixpanel; statistics; sql; tableau; a/b testing; power bi; excel,ru+en,hybrid,9,True,6,False,0.0
mentor_812d5dbf,Тимур Васильев,mentor,lead,Frontend,Web Developer,typescript; vue; angular; react; tailwind; graphql; html; webpack,ru,online,11,True,6,False,0.0
mentor_fb27c6d5,Антон Козлов,mentor,senior,QA,Test Automation Engineer,jmeter; appium; api testing; pytest; allure; git; cypress; test planning; python; siem,ru,online,6,True,6,True,0.07
mentor_b51e4dfc,Владимир Козлов,mentor,senior,Frontend,Vue Developer,next.js; vue; tailwind; figma; typescript; webpack; vite; azure,ru,offline,10,True,2,False,0.0
mentor_9ee51997,Иван Волков,mentor,senior,Product Analytics,Marketing Analyst,mixpanel; looker; sql; tableau; excel; google analytics; amplitude; power bi; python; burp suite,ru+en,online,9,True,8,False,0.0
mentor_9750c5ad,Екатерина Новиков,mentor,senior,Product Analytics,Product Analyst,sql; excel; python; statistics; power bi; mixpanel; amplitude,ru,hybrid,7,True,6,False,0.0
mentor_b5a4ff15,Роман Егоров,mentor,middle,QA,QA Engineer,cypress; postman; sql; appium; jmeter; test planning; pytest; python; jira; statistics,,hybrid,2,True,2,False,0.0
mentor_b8bbd677,Сергей Петров,mentor,senior,Cybersecurity,SOC Analyst,network security; linux; burp suite; python; cryptography; metasploit; owasp; wireshark; nmap; penetration testing,ru,offline,9,True,8,False,0.0
mentor_63bdea56,Иван Васильев,mentor,middle,Mobile,Swift Developer,rest api; swift; git; android studio; react native; xcode; ui/ux; firebase; java; looker,ru,online,6,True,8,False,0.0
mentor_0b08b179,Владимир Алексеев,mentor,senior,Game Development,Technical Artist,,,offline,11,False,0,False,0.0
mentor_bf24227d,Татьяна Попов,mentor,middle,Backend,Backend Developer,python; sql; rest api; microservices; kafka; grpc; mongodb; go; kubernetes,ru+en,online,4,True,1,False,0.0
mentor_fca57864,Сергей Семёнов,mentor,middle,Cybersecurity,Security Architect,metasploit; burp suite; penetration testing; linux; owasp; kafka,en,hybrid,2,True,5,True,0.19
mentor_5c79d322,Александр Козлов,mentor,senior,DevOps,Infrastructure Engineer,azure; helm; jenkins; gcp; linux; bash; github actions; grafana; kubernetes; docker; prometheus,ru+en,online,7,True,6,True,0.12
mentor_e1930481,Татьяна Алексеев,mentor,middle,Cybersecurity,Penetration Tester,,,,3,True,8,False,0.0
mentor_00977aa3,Светлана Лебедев,mentor,senior,Product Analytics,Product Analyst,,,,5,True,5,False,0.0
mentor_ac066c18,Арсений Козлов,mentor,senior,Game Development,Gameplay Programmer,c#; c++; unity; game design; git; opengl; physics simulation; python; blender; unreal engine,,,12,True,1,False,0.0
mentor_72f6b855,Тамара Соколов,mentor,senior,Game Development,Unreal Engine Developer,c#; unity; physics simulation; blender; c++; unreal engine; python; lua,,,6,True,4,False,0.0
mentor_e291204f,Дмитрий Петров,mentor,middle,Game Development,Unity Developer,,ru+en,offline,5,True,6,False,0.0
mentor_a33c1349,Дарья Захаров,mentor,lead,Blockchain,DeFi Developer,truffle; ethers.js; ethereum; solidity; rust; hardhat; typescript; defi; web3.js; python; nft; smart contracts,ru,,12,True,6,False,0.0
mentor_ff1150b5,Виктория Павлов,mentor,senior,Product Analytics,Growth Analyst,google analytics; amplitude; sql; tableau; excel; python; power bi,ru,online,7,True,1,False,0.0
mentor_424ee53b,Денис Соколов,mentor,senior,Game Development,Gameplay Programmer,,ru,hybrid,6,False,0,False,0.0
mentor_6243d498,Виктория Волков,mentor,lead,Data Science,ML Engineer,statistics; pandas; python; R; docker; spark; tensorflow; numpy; kafka,,,19,True,1,True,0.09
mentor_6119238e,Павел Павлов,mentor,senior,Data Science,Data Scientist,airflow; R; pytorch; kafka; pandas; mlflow; statistics,ru+en,hybrid,6,True,1,False,0.0
mentor_89af1f2e,Артём Попов,mentor,senior,Cybersecurity,Security Engineer,owasp; siem; linux; penetration testing; python; burp suite; wireshark; metasploit,ru,online,7,False,0,False,0.0
mentor_736bfe55,Людмила Кузнецов,mentor,senior,Game Development,Game Developer,,ru,online,12,True,3,True,0.14
mentor_0c520a46,Павел Захаров,mentor,middle,QA,QA Lead,pytest; selenium; api testing; appium; python; jmeter; jira; postman,ru,hybrid,6,True,1,False,0.0
mentor_c81b5318,Тамара Николаев,mentor,lead,Product Analytics,Marketing Analyst,tableau; google analytics; amplitude; a/b testing; looker; power bi; statistics; excel,en,,12,False,0,False,0.0
mentor_e2a907f4,Тимур Соловьёв,mentor,senior,Blockchain,Blockchain Developer,solidity; truffle; smart contracts; ethereum; hardhat; python; defi; typescript; nft,ru,online,12,True,4,False,0.0
mentor_888204c8,Ольга Семёнов,mentor,lead,Product Analytics,Retention Analyst,sql; power bi; python; looker; google analytics; a/b testing; excel; tableau; prometheus,en,online,16,True,4,False,0.0
mentor_9f49a7c6,Александр Никитин,mentor,senior,Game Development,Game Developer,git; lua; physics simulation; unreal engine; c++; blender; unity; opengl; c#; game design; tableau,ru,offline,10,True,3,False,0.0
mentor_d7bd8a25,Елена Лебедев,mentor,lead,Backend,Systems Architect,kubernetes; go; redis; grpc; microservices; rest api; node.js; sql; mongodb; python; docker; postgresql; kafka,ru+en,online,13,False,0,False,0.0
mentor_0bcc7a68,Андрей Степанов,mentor,lead,Blockchain,Crypto Analyst,ethers.js; nft; truffle; hardhat; ethereum; solidity; web3.js; typescript; rust; defi; smart contracts; python; kubernetes,ru,hybrid,13,False,0,False,0.0
mentor_3664ddff,Людмила Зайцев,mentor,lead,Product Analytics,Web Analyst,looker; a/b testing; google analytics; amplitude; sql; mixpanel; power bi; excel; python; tableau; statistics,ru,hybrid,16,True,5,False,0.0
mentor_3baf3f39,Тимур Андреев,mentor,senior,QA,Test Automation Engineer,selenium; appium; allure; jira; python; test planning; api testing; pytest; postman; cypress,,,10,True,8,False,0.0
mentor_a9e8aac2,Александр Новиков,mentor,senior,Blockchain,DeFi Developer,hardhat; solidity; ethers.js; python; web3.js; rust; smart contracts,,,8,True,1,False,0.0
mentor_de8cf19e,Александр Морозов,mentor,senior,Frontend,React Developer,,,,12,True,2,False,0.0
mentor_efad3b2a,Антон Лебедев,mentor,lead,DevOps,CI/CD Engineer,gcp; docker; jenkins; azure; github actions; linux; grafana; kubernetes; aws; helm; blender,en,hybrid,9,True,1,False,0.0
mentor_d92a24cb,Дмитрий Иванов,mentor,lead,QA,SDET,cypress; python; git; jmeter; test planning; postman; api testing; allure; pytest; selenium; jira; next.js,ru+en,hybrid,9,True,3,False,0.0
mentor_aeab2968,Полина Андреев,mentor,lead,QA,Test Analyst,api testing; appium; sql; git; test planning; pytest; allure; cypress; jmeter; jira; selenium,en,online,11,True,5,False,0.0
mentor_f548974e,Вера Макаров,mentor,senior,QA,SDET,test planning; jmeter; pytest; appium; allure; python; selenium; api testing,en,online,12,False,0,False,0.0
mentor_b2d6daa4,Алексей Макаров,mentor,middle,DevOps,Cloud Engineer,aws; prometheus; kubernetes; gcp; helm; github actions; grafana; jenkins,ru+en,hybrid,5,True,8,False,0.0
mentor_64434b3b,Роман Макаров,mentor,senior,QA,QA Engineer,sql; appium; python; cypress; jmeter; pytest; jira,,hybrid,11,True,2,False,0.0
mentor_fb62e2fb,Елена Фёдоров,mentor,lead,QA,SDET,cypress; selenium; postman; python; api testing; appium; sql; test planning; allure,,,9,True,1,False,0.0
mentor_be1d053a,Татьяна Морозов,mentor,middle,Product Analytics,CRM Analyst,statistics; sql; amplitude; python; mixpanel; a/b testing; power bi; excel; spark,ru+en,online,2,True,6,False,0.0
mentor_228eb8de,Людмила Степанов,mentor,senior,Mobile,Flutter Developer,git; ui/ux; rest api; flutter; java; objective-c; xcode; react native,ru+en,hybrid,8,True,2,True,0.07
mentor_69ba3329,Дмитрий Макаров,mentor,middle,Game Development,Game Designer,,en,hybrid,5,True,2,False,0.0
mentor_8ec7dbb5,Тимур Морозов,mentor,middle,DevOps,DevOps Engineer,,,online,2,False,0,False,0.0
mentor_29f33a59,Полина Волков,mentor,lead,Backend,Backend Developer,redis; postgresql; docker; sql; python; rest api; go; microservices; mongodb; grpc; kubernetes; kafka; node.js; java,ru,hybrid,15,True,2,False,0.0
mentor_8acf264f,Дарья Николаев,mentor,senior,Mobile,React Native Developer,,,offline,12,False,0,False,0.0
mentor_ba1dff22,Ольга Попов,mentor,lead,QA,QA Lead,jmeter; pytest; api testing; git; allure; jira; cypress; test planning; sql; selenium; python; postman; appium,en,online,13,True,1,False,0.0
mentor_9a67caac,Виктория Павлов,mentor,senior,Backend,Software Engineer,sql; kubernetes; mongodb; microservices; go; kafka; node.js; docker; redis; postgresql; rest api,ru,,8,False,0,True,0.15
mentor_9564a2f1,Егор Новиков,mentor,lead,Mobile,React Native Developer,firebase; git; xcode; rest api; flutter; react native; android studio; java; swift; kotlin; ui/ux; objective-c,ru,online,10,False,0,False,0.0
mentor_0e3dfb65,Алексей Степанов,mentor,senior,QA,Manual Tester,jmeter; postman; cypress; sql; selenium; python; git; pytest; test planning; jira,ru+en,offline,9,True,3,False,0.0
mentor_6da5f668,Анна Алексеев,mentor,lead,Product Analytics,Product Analyst,a/b testing; sql; power bi; google analytics; excel; python; tableau; amplitude,ru,online,11,True,3,False,0.0
mentor_d7a294cd,Роман Николаев,mentor,middle,Blockchain,Solidity Developer,solidity; smart contracts; ethereum; hardhat; python; typescript; nft; ethers.js; web3.js,en,offline,6,True,8,False,0.0
mentor_f91ebba6,Михаил Макаров,mentor,middle,Game Development,Technical Artist,physics simulation; unreal engine; git; c++; blender,ru,online,2,False,0,False,0.0
mentor_e1ddcbed,Артём Козлов,mentor,middle,QA,Test Automation Engineer,selenium; python; postman; test planning; jira; pytest; jmeter; pytorch,ru,online,5,False,0,False,0.0
mentor_c8541584,Дарья Смирнов,mentor,senior,Mobile,Mobile Architect,swift; kotlin; rest api; android studio; git; java; flutter; xcode; objective-c; react native; ui/ux; firebase,ru,online,5,True,4,False,0.0
mentor_da76ea0c,Ольга Андреев,mentor,middle,Mobile,Android Developer,react native; ui/ux; flutter; kotlin; objective-c; firebase; git; xcode; swift,ru,offline,3,False,0,False,0.0
mentor_40a8fdc6,Арсений Никитин,mentor,senior,Data Science,Data Scientist,tensorflow; scikit-learn; numpy; R; spark; sql; python; pytorch; airflow; pandas; docker; statistics,ru,online,12,True,2,False,0.0
mentor_2add607b,Наталья Павлов,mentor,middle,Product Analytics,Growth Analyst,looker; amplitude; statistics; mixpanel; tableau; python; selenium,en,hybrid,3,True,6,False,0.0
mentor_ff08ed4f,Кирилл Павлов,mentor,middle,Frontend,React Developer,angular; graphql; tailwind; typescript; webpack; vue,ru,hybrid,5,True,8,True,0.15
mentor_615cca08,Елена Попов,mentor,middle,Blockchain,Crypto Analyst,hardhat; defi; rust; smart contracts; nft; ethers.js; lua,ru,online,3,True,5,False,0.0
mentor_6715d708,Андрей Николаев,mentor,middle,Product Analytics,Retention Analyst,power bi; excel; statistics; tableau; looker; sql,ru,online,4,True,6,True,0.05
mentor_49610000,Алина Михайлов,mentor,senior,Cybersecurity,SOC Analyst,nmap; metasploit; owasp; wireshark; burp suite; network security; linux; cryptography; siem; penetration testing; appium,ru+en,online,9,True,6,False,0.0
mentor_bdbb5078,Артём Попов,mentor,lead,DevOps,Infrastructure Engineer,aws; github actions; ansible; kubernetes; terraform; helm; jenkins; linux; prometheus; gcp; grafana; bash; azure; docker; unreal engine,en,online,17,True,3,False,0.0
mentor_eb5c9134,Сергей Захаров,mentor,senior,Backend,Database Engineer,rest api; microservices; postgresql; grpc; python; java; node.js; go; sql; redis; kubernetes; kafka,ru,online,8,True,1,False,0.0
mentor_26efd06d,Ольга Васильев,mentor,lead,Product Analytics,Growth Analyst,python; excel; amplitude; google analytics; power bi; looker; a/b testing; sql,ru,online,19,True,8,False,0.0
mentor_c8e061bb,Виктория Зайцев,mentor,lead,QA,Performance Tester,python; allure; jira; jmeter; git; sql; postman; api testing; cypress; selenium,en,hybrid,12,True,5,False,0.0
mentor_dfa853f0,Никита Павлов,mentor,senior,Backend,Software Engineer,postgresql; python; kubernetes; node.js; go; kafka; mongodb; java; statistics,,,5,True,3,False,0.0
mentor_d88f2e6c,Александр Борисов,mentor,lead,QA,Test Automation Engineer,appium; jmeter; git; postman; test planning; jira; sql; cypress; selenium; allure; api testing,ru,hybrid,19,True,8,True,0.19
mentor_266c2e85,Юлия Лебедев,mentor,middle,Backend,Java Developer,kubernetes; go; node.js; mongodb; redis; postgresql; kafka,ru,online,2,False,0,False,0.0
mentor_4f496cf3,Александр Соловьёв,mentor,senior,Data Science,MLOps Engineer,airflow; R; statistics; tensorflow; scikit-learn; pandas; mlflow; pytorch; numpy; kafka; spark; postgresql,ru,online,12,True,6,False,0.0
mentor_323bccce,Сергей Павлов,mentor,senior,DevOps,DevOps Engineer,ansible; prometheus; aws; kubernetes; grafana; docker; bash; azure,en,online,7,True,6,True,0.18
mentor_18a38f03,Мария Смирнов,mentor,lead,Game Development,Technical Artist,,,online,19,False,0,False,0.0
mentor_1a7ff0cb,Григорий Фёдоров,mentor,senior,Backend,Backend Developer,kafka; rest api; python; sql; go; grpc; mongodb; postgresql; node.js; redis; microservices,ru,hybrid,11,False,0,False,0.0
mentor_6e507e0a,Елена Васильев,mentor,middle,Cybersecurity,SOC Analyst,wireshark; metasploit; linux; cryptography; burp suite; siem; c#,en,online,3,True,4,False,0.0
mentor_5caa765a,Егор Смирнов,mentor,lead,Frontend,React Developer,graphql; angular; next.js; tailwind; vite; vue; javascript; webpack; react; typescript; html; css,ru,online,12,False,0,False,0.0
mentor_a5ae330b,Наталья Соловьёв,mentor,senior,Product Analytics,A/B Test Specialist,excel; tableau; a/b testing; mixpanel; looker; python; amplitude; statistics; google analytics; pandas,en,hybrid,11,True,5,True,0.12
mentor_06b00543,Ольга Петров,mentor,senior,Backend,Backend Developer,node.js; mongodb; rest api; postgresql; docker; redis; go; java; kafka; kubernetes; sql; python,ru+en,online,7,True,4,False,0.0
mentor_152b70ea,Егор Алексеев,mentor,middle,Data Science,ML Engineer,,en,hybrid,4,True,8,False,0.0
mentor_e36bf69c,Екатерина Егоров,mentor,senior,QA,QA Engineer,jmeter; cypress; postman; pytest; selenium; git; api testing; sql; appium,ru+en,hybrid,11,True,6,False,0.0
mentor_e003debe,Антон Иванов,mentor,lead,Data Science,Research Scientist,numpy; sql; kafka; airflow; spark; tensorflow; pytorch; python; mlflow; R; scikit-learn; pandas; statistics; docker; git,ru,,20,True,6,False,0.0
mentor_69ef6a32,Надежда Петров,mentor,lead,Mobile,Kotlin Developer,android studio; ui/ux; swift; flutter; git; react native; firebase; rest api; java; xcode; kotlin,ru,,20,True,3,False,0.0
mentor_97f69034,Светлана Петров,mentor,senior,Mobile,React Native Developer,swift; kotlin; react native; rest api; firebase; xcode; objective-c,ru+en,online,11,True,6,False,0.0
mentor_cef41c30,Ирина Лебедев,mentor,senior,Game Development,Game Developer,,en,online,8,True,3,False,0.0
mentor_90d48b74,Ольга Алексеев,mentor,middle,Product Analytics,A/B Test Specialist,excel; statistics; a/b testing; amplitude; sql; power bi; python; tableau; wireshark,ru,hybrid,2,False,0,False,0.0
mentor_13591a9b,Алексей Петров,mentor,senior,Blockchain,Blockchain Developer,ethereum; typescript; python; solidity; smart contracts; ethers.js; defi; truffle,,online,5,True,2,False,0.0
mentor_c043a7da,Арсений Смирнов,mentor,senior,Game Development,Game Developer,physics simulation; game design; git; blender; opengl; c++; unreal engine; unity; c#; python,,,5,True,4,True,0.13
mentor_aff0153a,Алексей Егоров,mentor,middle,Frontend,UI Developer,angular; react; graphql; typescript; tailwind; ansible,ru,online,4,False,0,False,0.0
mentor_fa1703d1,Иван Лебедев,mentor,lead,Game Development,Game Designer,opengl; game design; physics simulation; c++; git; unreal engine; blender; unity; python; xcode,,hybrid,9,True,2,True,0.13
mentor_595f9985,Иван Васильев,mentor,lead,DevOps,Infrastructure Engineer,grafana; docker; bash; gcp; helm; prometheus; ansible; azure; kubernetes; aws; jenkins; terraform; linux; statistics,en,,9,False,0,False,0.0
mentor_496cdead,Михаил Морозов,mentor,senior,Product Analytics,A/B Test Specialist,statistics; amplitude; python; mixpanel; excel; a/b testing; google analytics; power bi; looker,ru,offline,5,True,1,False,0.0
mentor_acfa5d82,Андрей Васильев,mentor,senior,Data Science,Data Analyst,pytorch; statistics; spark; tensorflow; pandas; kafka; R; docker; python,,,12,True,5,False,0.0
mentor_dd18ead3,Анна Макаров,mentor,middle,QA,QA Engineer,pytest; jira; api testing; jmeter; allure; test planning; git; python; jenkins,ru,hybrid,3,True,5,False,0.0
mentor_f7e122bb,Григорий Попов,mentor,middle,DevOps,SRE,jenkins; linux; helm; aws; kubernetes; github actions; terraform; azure,,offline,3,True,3,False,0.0
mentor_1c63d11a,Владимир Макаров,mentor,lead,Blockchain,Blockchain Developer,python; hardhat; web3.js; nft; solidity; rust; ethereum; typescript; smart contracts; defi; truffle; ethers.js,ru,online,14,True,5,False,0.0
mentor_9b1c2fe5,Артём Фёдоров,mentor,senior,Frontend,React Developer,javascript; css; webpack; html; next.js; figma; tailwind; vite; graphql; typescript,en,offline,9,False,0,False,0.0
mentor_2804eada,Дмитрий Кузнецов,mentor,senior,QA,SDET,appium; jira; pytest; postman; cypress; git; jmeter; test planning; api testing; sql,ru,online,12,True,3,False,0.0
mentor_66248484,Елена Петров,mentor,middle,Frontend,Web Developer,vite; graphql; angular; webpack; next.js; css,ru,hybrid,2,True,2,False,0.0
mentor_d67dd077,Елена Никитин,mentor,senior,Game Development,Game Developer,c++; opengl; lua; unity; physics simulation; game design; unreal engine; git; python; c#,ru,online,9,False,0,False,0.0
mentor_2bcf1feb,Григорий Фёдоров,mentor,middle,Frontend,Web Developer,figma; vue; css; react; graphql,en,online,2,False,0,False,0.0
mentor_c790bdc4,Сергей Николаев,mentor,senior,Cybersecurity,Security Architect,,,,9,True,3,False,0.0
mentor_56105218,Ольга Петров,mentor,lead,Frontend,Frontend Developer,vue; typescript; next.js; angular; react; tailwind; javascript; css; vite; figma; graphql; webpack,ru+en,online,18,True,8,False,0.0
mentor_6a50b29e,Дмитрий Алексеев,mentor,senior,Blockchain,Solidity Developer,solidity; smart contracts; rust; truffle; python; web3.js; ethereum; defi; ethers.js; nft; typescript; hardhat,en,offline,8,True,5,False,0.0
mentor_148fff02,Юлия Павлов,mentor,senior,Game Development,Technical Artist,physics simulation; blender; c#; game design; unreal engine; unity; opengl; git; python; lua,ru+en,online,9,True,8,True,0.09
mentor_c94fe11f,Иван Кузнецов,mentor,senior,Blockchain,Crypto Analyst,defi; ethers.js; ethereum; solidity; web3.js; typescript; rust,ru,hybrid,8,True,2,False,0.0
mentor_75b6e3e8,Михаил Семёнов,mentor,lead,Game Development,Game Developer,c#; unreal engine; lua; unity; c++; physics simulation; git; game design; blender; python; opengl,ru,online,18,True,1,False,0.0
mentor_a7b19e9a,Павел Михайлов,mentor,middle,Frontend,UI Developer,figma; html; angular; vue; typescript; css; javascript; webpack; graphql,ru,hybrid,5,True,8,True,0.07
mentor_0f88ed0f,Татьяна Смирнов,mentor,senior,Frontend,Angular Developer,angular; graphql; tailwind; figma; react; vite; next.js,en,offline,6,True,4,False,0.0
mentor_0c584a8c,Анна Соловьёв,mentor,senior,Backend,Python Developer,,ru,offline,11,True,1,True,0.11
mentor_dbf91235,Кирилл Андреев,mentor,lead,Product Analytics,Growth Analyst,python; statistics; tableau; a/b testing; amplitude; looker; mixpanel; sql; power bi; excel; google analytics,ru,hybrid,16,True,1,False,0.0
mentor_b5dfbe4c,Кирилл Соловьёв,mentor,senior,Product Analytics,A/B Test Specialist,sql; power bi; amplitude; tableau; mixpanel; excel; python; looker; a/b testing; google analytics; statistics,en,hybrid,8,True,1,False,0.0
mentor_427b8523,Полина Попов,mentor,middle,Blockchain,Solidity Developer,truffle; web3.js; typescript; solidity; rust; ethers.js,ru,online,3,False,0,False,0.0
mentor_827614b2,Вера Михайлов,mentor,senior,Data Science,ML Engineer,spark; mlflow; pytorch; R; sql; scikit-learn; tensorflow; numpy; pandas; kafka; statistics,ru,online,7,True,4,False,0.0
mentor_f3f8143f,Алина Захаров,mentor,senior,DevOps,CI/CD Engineer,,,hybrid,5,True,8,False,0.0
