id,name,level_raw,level_score,domain,profession,language,language_set,format,format_set,skills_normalized,skills_missing,domain_vector,domain_fallback,experience_years,experience_norm,available,hours_per_week,boosted,boost_k
mentor_7ae45aa0,Алексей Никитин,senior,3,Cybersecurity,Penetration Tester,ru+en,en|ru,online,online,metasploit; nmap; burp suite; wireshark; network security; owasp; linux; cryptography; python; javascript,0,"0.0171,0.027,0.8134,0.0177,0.0504,0.0078,0.0192,0.0067,0.0241,0.0167",0,6,0.6392,False,0,False,0.0
mentor_b7d4514a,Андрей Павлов,middle,2,Frontend,TypeScript Developer,,,,,,1,"0.0086,0.0491,0.0095,0.0101,0.0086,0.8805,0.0127,0.0043,0.0105,0.0061",0,2,0.3608,True,5,False,0.0
mentor_503f57f3,Дарья Зайцев,senior,3,Frontend,TypeScript Developer,en,en,online,online,html; vue; typescript; javascript; webpack; css; tailwind; angular; figma; next.js; vite; react,0,"0.0086,0.0491,0.0095,0.0101,0.0086,0.8805,0.0127,0.0043,0.0105,0.0061",0,12,0.8425,True,5,False,0.0
mentor_f96942c9,Вера Захаров,senior,3,Product Analytics,Marketing Analyst,en,en,online,online,mixpanel; tableau; excel; python; amplitude; statistics; sql; google analytics,0,"0.0406,0.0214,0.0283,0.07,0.0106,0.0086,0.0288,0.0075,0.7466,0.0375",0,9,0.7563,True,2,False,0.0
mentor_f7bdfb66,Сергей Соколов,senior,3,QA,QA Lead,,,online,online,,1,"0.0365,0.016,0.0163,0.0362,0.006,0.0138,0.0503,0.0255,0.0415,0.7579",0,6,0.6392,True,2,False,0.0
mentor_ccb61416,Арсений Кузнецов,middle,2,QA,Performance Tester,ru,ru,hybrid,hybrid|offline|online,,1,"0.0334,0.0193,0.0162,0.0289,0.0024,0.0119,0.0486,0.0353,0.038,0.766",0,3,0.4553,True,2,False,0.0
mentor_d66d90bc,Роман Никитин,middle,2,DevOps,Kubernetes Engineer,en,en,online,online,prometheus; docker; jenkins; terraform; helm; azure; github actions; aws; grafana,0,"0.0642,0.0039,0.0491,0.033,0.8084,0.011,0.009,0.0091,0.0072,0.0052",0,4,0.5286,False,0,True,0.07
mentor_3f55fe53,Владимир Козлов,senior,3,DevOps,Platform Engineer,ru,ru,,,azure; gcp; ansible; prometheus; jenkins; aws; helm; bash; grafana,0,"0.0668,0.0059,0.0393,0.0284,0.8191,0.011,0.0068,0.0076,0.0084,0.0067",0,7,0.683,True,2,True,0.1
mentor_d539ab4f,Владимир Фёдоров,senior,3,Data Science,Data Scientist,en,en,hybrid,hybrid|offline|online,statistics; tensorflow; scikit-learn; airflow; pytorch; python; numpy; spark; mlflow; docker; java,0,"0.0862,0.0257,0.0173,0.6936,0.0277,0.0088,0.0191,0.0097,0.0789,0.0331",0,12,0.8425,True,3,True,0.19
mentor_f0c0ffdf,Иван Степанов,middle,2,DevOps,Cloud Engineer,ru,ru,hybrid,hybrid|offline|online,,1,"0.0596,0.0067,0.0454,0.0325,0.81,0.0096,0.0105,0.0094,0.0097,0.0066",0,6,0.6392,True,1,False,0.0
mentor_e78ce72e,Григорий Степанов,middle,2,Cybersecurity,Malware Analyst,en,en,hybrid,hybrid|offline|online,wireshark; penetration testing; burp suite; metasploit; siem; network security; python; linux; nmap,0,"0.0167,0.0272,0.8141,0.0154,0.0463,0.0101,0.0167,0.0072,0.0249,0.0213",0,5,0.5885,False,0,False,0.0
mentor_6c95988c,Тимур Семёнов,lead,4,DevOps,Kubernetes Engineer,en,en,online,online,grafana; aws; docker; prometheus; jenkins; terraform; gcp; bash; linux; github actions; kubernetes; azure; ansible; helm,0,"0.0642,0.0039,0.0491,0.033,0.8084,0.011,0.009,0.0091,0.0072,0.0052",0,20,1.0,True,6,False,0.0
mentor_72a12638,Александр Никитин,senior,3,Cybersecurity,Malware Analyst,ru,ru,hybrid,hybrid|offline|online,wireshark; metasploit; cryptography; python; owasp; linux; penetration testing; network security; burp suite,0,"0.0167,0.0272,0.8141,0.0154,0.0463,0.0101,0.0167,0.0072,0.0249,0.0213",0,8,0.7217,True,4,False,0.0
mentor_51cbcde3,Ольга Степанов,senior,3,Game Development,Game Developer,,,online,online,opengl; lua; c#; blender; game design; unity; python; git,0,"0.0164,0.0182,0.0174,0.0172,0.0112,0.0057,0.8087,0.0336,0.0242,0.0473",0,10,0.7876,True,5,False,0.0
mentor_29ef82e3,Денис Алексеев,middle,2,Game Development,Technical Artist,ru,ru,online,online,physics simulation; python; blender; git; unity; lua; c#; game design; unreal engine,0,"0.0179,0.0218,0.024,0.0174,0.0128,0.0071,0.8023,0.0286,0.0235,0.0445",0,3,0.4553,True,6,False,0.0
mentor_ea98b4b2,Екатерина Иванов,senior,3,Game Development,Gameplay Programmer,ru,ru,hybrid,hybrid|offline|online,physics simulation; git; c++; c#; lua; unreal engine; game design; python; unity,0,"0.021,0.022,0.0175,0.02,0.0098,0.0083,0.7923,0.0373,0.0261,0.0457",0,12,0.8425,True,3,False,0.0
mentor_9d9d4fae,Светлана Алексеев,lead,4,Product Analytics,Web Analyst,ru,ru,online,online,power bi; excel; amplitude; looker; statistics; sql; python; mixpanel; tableau; google analytics; a/b testing,0,"0.0418,0.0249,0.0186,0.0721,0.0046,0.0118,0.0191,0.0035,0.7682,0.0355",0,20,1.0,True,3,False,0.0
mentor_b47ad6ac,Кирилл Кузнецов,senior,3,Blockchain,Solidity Developer,,,,,hardhat; defi; ethereum; rust; ethers.js; typescript; smart contracts; truffle; web3.js; nft; solidity,0,"0.0202,0.8232,0.0212,0.015,0.0032,0.0518,0.0169,0.0072,0.0234,0.018",0,9,0.7563,False,0,False,0.0
mentor_5a31b4e1,Алексей Михайлов,lead,4,Product Analytics,Product Analyst,ru+en,en|ru,offline,offline,mixpanel; excel; amplitude; google analytics; a/b testing; python; tableau; statistics; opengl,0,"0.0438,0.0202,0.0214,0.0716,0.0072,0.0103,0.0242,0.0067,0.7522,0.0425",0,9,0.7563,True,6,False,0.0
mentor_f0326589,Ксения Кузнецов,middle,2,QA,Test Automation Engineer,ru+en,en|ru,online,online,appium; pytest; git; cypress; sql; python; jmeter; selenium; jira; ui/ux,0,"0.0335,0.0177,0.0178,0.0284,0.0066,0.0075,0.0436,0.0317,0.0358,0.7772",0,4,0.5286,True,5,False,0.0
mentor_4a1ee60f,Анна Павлов,senior,3,Frontend,Angular Developer,en,en,online,online,figma; typescript; tailwind; react; vite; vue; html; css; graphql; angular; javascript; webpack,0,"0.004,0.0416,0.0047,0.0075,0.0061,0.9095,0.0055,0.002,0.007,0.0121",0,12,0.8425,True,5,False,0.0
mentor_085cc4b3,Алина Фёдоров,lead,4,DevOps,Cloud Engineer,ru,ru,online,online,bash; ansible; github actions; helm; jenkins; docker; prometheus; aws; linux; terraform; kubernetes; azure; grafana,0,"0.0596,0.0067,0.0454,0.0325,0.81,0.0096,0.0105,0.0094,0.0097,0.0066",0,19,0.984,True,5,False,0.0
mentor_9163ff57,Виктория Лебедев,middle,2,Product Analytics,CRM Analyst,,,,,,1,"0.0354,0.0209,0.0238,0.078,0.0057,0.0096,0.0195,0.0088,0.7583,0.0401",0,5,0.5885,True,5,False,0.0
mentor_e6d22ba3,Анна Борисов,senior,3,Cybersecurity,SOC Analyst,ru,ru,offline,offline,wireshark; siem; cryptography; owasp; metasploit; burp suite; network security; nmap,0,"0.0156,0.0234,0.8079,0.0173,0.0436,0.0052,0.0258,0.0149,0.0248,0.0215",0,8,0.7217,True,3,False,0.0
mentor_d26e72e7,Ольга Зайцев,middle,2,Game Development,Technical Artist,ru,ru,online,online,c++; opengl; unreal engine; c#; unity; game design; git; blender,0,"0.0179,0.0218,0.024,0.0174,0.0128,0.0071,0.8023,0.0286,0.0235,0.0445",0,2,0.3608,True,5,False,0.0
mentor_6c56c753,Павел Васильев,lead,4,Frontend,Web Developer,en,en,hybrid,hybrid|offline|online,vite; webpack; javascript; graphql; typescript; figma; vue; tailwind; react; css; html; next.js; angular,0,"0.0043,0.052,0.0057,0.0051,0.0126,0.8926,0.0064,0.0075,0.0086,0.0052",0,15,0.9107,True,3,False,0.0
mentor_3849f98b,Наталья Никитин,senior,3,Cybersecurity,SOC Analyst,ru,ru,online,online,metasploit; cryptography; linux; python; nmap; wireshark; owasp,0,"0.0156,0.0234,0.8079,0.0173,0.0436,0.0052,0.0258,0.0149,0.0248,0.0215",0,8,0.7217,True,1,False,0.0
mentor_d6833a52,Кирилл Михайлов,senior,3,Backend,Backend Developer,ru,ru,hybrid,hybrid|offline|online,docker; grpc; go; postgresql; kafka; mongodb; sql; rest api; java; node.js; python,0,"0.6448,0.0211,0.0194,0.0856,0.0567,0.0093,0.0146,0.0758,0.0378,0.0349",0,10,0.7876,False,0,False,0.0
mentor_dd6f22dc,Денис Соловьёв,lead,4,Game Development,Unreal Engine Developer,en,en,online,online,lua; git; game design; opengl; physics simulation; blender; unity; c#,0,"0.0145,0.0168,0.0149,0.0145,0.0101,0.0121,0.8118,0.0363,0.0192,0.0497",0,20,1.0,True,4,False,0.0
mentor_cad81e83,Денис Кузнецов,middle,2,Blockchain,Smart Contract Developer,,,online,online,defi; ethers.js; web3.js; solidity; ethereum; typescript; nft,0,"0.0202,0.8158,0.0206,0.0176,0.0051,0.0538,0.0169,0.0084,0.0222,0.0194",0,5,0.5885,True,8,True,0.15
mentor_ed6c3567,Роман Зайцев,middle,2,Blockchain,Web3 Engineer,ru,ru,online,online,solidity; typescript; rust; nft; truffle; python; hardhat; ethereum; ethers.js,0,"0.0168,0.8254,0.0251,0.0187,0.0069,0.0392,0.0199,0.0093,0.0194,0.0193",0,2,0.3608,True,2,False,0.0
mentor_603eaf76,Алексей Семёнов,senior,3,Product Analytics,A/B Test Specialist,ru+en,en|ru,hybrid,hybrid|offline|online,google analytics; amplitude; python; mixpanel; statistics; sql; tableau; a/b testing; power bi; excel,0,"0.0393,0.0205,0.0233,0.0759,0.0047,0.007,0.0261,0.0125,0.7477,0.0429",0,9,0.7563,True,6,False,0.0
mentor_812d5dbf,Тимур Васильев,lead,4,Frontend,Web Developer,ru,ru,online,online,typescript; vue; angular; react; tailwind; graphql; html; webpack,0,"0.0043,0.052,0.0057,0.0051,0.0126,0.8926,0.0064,0.0075,0.0086,0.0052",0,11,0.8162,True,6,False,0.0
mentor_fb27c6d5,Антон Козлов,senior,3,QA,Test Automation Engineer,ru,ru,online,online,jmeter; appium; api testing; pytest; allure; git; cypress; test planning; python; siem,0,"0.0335,0.0177,0.0178,0.0284,0.0066,0.0075,0.0436,0.0317,0.0358,0.7772",0,6,0.6392,True,6,True,0.07
mentor_b51e4dfc,Владимир Козлов,senior,3,Frontend,Vue Developer,ru,ru,offline,offline,next.js; vue; tailwind; figma; typescript; webpack; vite; azure,0,"0.007,0.0469,0.0059,0.0079,0.0091,0.8851,0.0088,0.0044,0.0091,0.0157",0,10,0.7876,True,2,False,0.0
mentor_9ee51997,Иван Волков,senior,3,Product Analytics,Marketing Analyst,ru+en,en|ru,online,online,mixpanel; looker; sql; tableau; excel; google analytics; amplitude; power bi; python; burp suite,0,"0.0406,0.0214,0.0283,0.07,0.0106,0.0086,0.0288,0.0075,0.7466,0.0375",0,9,0.7563,True,8,False,0.0
mentor_9750c5ad,Екатерина Новиков,senior,3,Product Analytics,Product Analyst,ru,ru,hybrid,hybrid|offline|online,sql; excel; python; statistics; power bi; mixpanel; amplitude,0,"0.0438,0.0202,0.0214,0.0716,0.0072,0.0103,0.0242,0.0067,0.7522,0.0425",0,7,0.683,True,6,False,0.0
mentor_b5a4ff15,Роман Егоров,middle,2,QA,QA Engineer,,,hybrid,hybrid|offline|online,cypress; postman; sql; appium; jmeter; test planning; pytest; python; jira; statistics,0,"0.0387,0.0254,0.0194,0.0346,0.0137,0.0095,0.0463,0.0286,0.0471,0.7367",0,2,0.3608,True,2,False,0.0
mentor_b8bbd677,Сергей Петров,senior,3,Cybersecurity,SOC Analyst,ru,ru,offline,offline,network security; linux; burp suite; python; cryptography; metasploit; owasp; wireshark; nmap; penetration testing,0,"0.0156,0.0234,0.8079,0.0173,0.0436,0.0052,0.0258,0.0149,0.0248,0.0215",0,9,0.7563,True,8,False,0.0
mentor_63bdea56,Иван Васильев,middle,2,Mobile,Swift Developer,ru,ru,online,online,rest api; swift; git; android studio; react native; xcode; ui/ux; firebase; java; looker,0,"0.0881,0.0107,0.0106,0.009,0.0074,0.0037,0.0355,0.7934,0.0092,0.0323",0,6,0.6392,True,8,False,0.0
mentor_0b08b179,Владимир Алексеев,senior,3,Game Development,Technical Artist,,,offline,offline,,1,"0.0179,0.0218,0.024,0.0174,0.0128,0.0071,0.8023,0.0286,0.0235,0.0445",0,11,0.8162,False,0,False,0.0
mentor_bf24227d,Татьяна Попов,middle,2,Backend,Backend Developer,ru+en,en|ru,online,online,python; sql; rest api; microservices; kafka; grpc; mongodb; go; kubernetes,0,"0.6448,0.0211,0.0194,0.0856,0.0567,0.0093,0.0146,0.0758,0.0378,0.0349",0,4,0.5286,True,1,False,0.0
mentor_fca57864,Сергей Семёнов,middle,2,Cybersecurity,Security Architect,en,en,hybrid,hybrid|offline|online,metasploit; burp suite; penetration testing; linux; owasp; kafka,0,"0.0145,0.0202,0.8354,0.0142,0.0483,0.007,0.0196,0.0106,0.0172,0.013",0,2,0.3608,True,5,True,0.19
mentor_5c79d322,Александр Козлов,senior,3,DevOps,Infrastructure Engineer,ru+en,en|ru,online,online,azure; helm; jenkins; gcp; linux; bash; github actions; grafana; kubernetes; docker; prometheus,0,"0.0696,0.0085,0.0463,0.0386,0.7917,0.0118,0.009,0.0115,0.0059,0.0071",0,7,0.683,True,6,True,0.12
mentor_e1930481,Татьяна Алексеев,middle,2,Cybersecurity,Penetration Tester,,,,,,1,"0.0171,0.027,0.8134,0.0177,0.0504,0.0078,0.0192,0.0067,0.0241,0.0167",0,3,0.4553,True,8,False,0.0
mentor_00977aa3,Светлана Лебедев,senior,3,Product Analytics,Product Analyst,,,,,,1,"0.0438,0.0202,0.0214,0.0716,0.0072,0.0103,0.0242,0.0067,0.7522,0.0425",0,5,0.5885,True,5,False,0.0
mentor_ac066c18,Арсений Козлов,senior,3,Game Development,Gameplay Programmer,,,,,c#; c++; unity; game design; git; opengl; physics simulation; python; blender; unreal engine,0,"0.021,0.022,0.0175,0.02,0.0098,0.0083,0.7923,0.0373,0.0261,0.0457",0,12,0.8425,True,1,False,0.0
mentor_72f6b855,Тамара Соколов,senior,3,Game Development,Unreal Engine Developer,,,,,c#; unity; physics simulation; blender; c++; unreal engine; python; lua,0,"0.0145,0.0168,0.0149,0.0145,0.0101,0.0121,0.8118,0.0363,0.0192,0.0497",0,6,0.6392,True,4,False,0.0
mentor_e291204f,Дмитрий Петров,middle,2,Game Development,Unity Developer,ru+en,en|ru,offline,offline,,1,"0.0155,0.0225,0.0209,0.0201,0.0084,0.0041,0.8115,0.0313,0.0241,0.0415",0,5,0.5885,True,6,False,0.0
mentor_a33c1349,Дарья Захаров,lead,4,Blockchain,DeFi Developer,ru,ru,,,truffle; ethers.js; ethereum; solidity; rust; hardhat; typescript; defi; web3.js; python; nft; smart contracts,0,"0.0169,0.8203,0.0203,0.0169,0.005,0.0485,0.0238,0.0067,0.0244,0.0172",0,12,0.8425,True,6,False,0.0
mentor_ff1150b5,Виктория Павлов,senior,3,Product Analytics,Growth Analyst,ru,ru,online,online,google analytics; amplitude; sql; tableau; excel; python; power bi,0,"0.0349,0.0294,0.0178,0.0705,0.0081,0.0123,0.0212,0.0049,0.763,0.0378",0,7,0.683,True,1,False,0.0
mentor_424ee53b,Денис Соколов,senior,3,Game Development,Gameplay Programmer,ru,ru,hybrid,hybrid|offline|online,,1,"0.021,0.022,0.0175,0.02,0.0098,0.0083,0.7923,0.0373,0.0261,0.0457",0,6,0.6392,False,0,False,0.0
mentor_6243d498,Виктория Волков,lead,4,Data Science,ML Engineer,,,,,statistics; pandas; python; r; docker; spark; tensorflow; numpy; kafka,0,"0.0823,0.0191,0.0171,0.7122,0.0278,0.0077,0.019,0.0116,0.0722,0.0311",0,19,0.984,True,1,True,0.09
mentor_6119238e,Павел Павлов,senior,3,Data Science,Data Scientist,ru+en,en|ru,hybrid,hybrid|offline|online,airflow; r; pytorch; kafka; pandas; mlflow; statistics,0,"0.0862,0.0257,0.0173,0.6936,0.0277,0.0088,0.0191,0.0097,0.0789,0.0331",0,6,0.6392,True,1,False,0.0
mentor_89af1f2e,Артём Попов,senior,3,Cybersecurity,Security Engineer,ru,ru,online,online,owasp; siem; linux; penetration testing; python; burp suite; wireshark; metasploit,0,"0.0189,0.0201,0.8251,0.0179,0.0412,0.0105,0.017,0.0053,0.0267,0.0173",0,7,0.683,False,0,False,0.0
mentor_736bfe55,Людмила Кузнецов,senior,3,Game Development,Game Developer,ru,ru,online,online,,1,"0.0164,0.0182,0.0174,0.0172,0.0112,0.0057,0.8087,0.0336,0.0242,0.0473",0,12,0.8425,True,3,True,0.14
mentor_0c520a46,Павел Захаров,middle,2,QA,QA Lead,ru,ru,hybrid,hybrid|offline|online,pytest; selenium; api testing; appium; python; jmeter; jira; postman,0,"0.0365,0.016,0.0163,0.0362,0.006,0.0138,0.0503,0.0255,0.0415,0.7579",0,6,0.6392,True,1,False,0.0
mentor_c81b5318,Тамара Николаев,lead,4,Product Analytics,Marketing Analyst,en,en,,,tableau; google analytics; amplitude; a/b testing; looker; power bi; statistics; excel,0,"0.0406,0.0214,0.0283,0.07,0.0106,0.0086,0.0288,0.0075,0.7466,0.0375",0,12,0.8425,False,0,False,0.0
mentor_e2a907f4,Тимур Соловьёв,senior,3,Blockchain,Blockchain Developer,ru,ru,online,online,solidity; truffle; smart contracts; ethereum; hardhat; python; defi; typescript; nft,0,"0.0231,0.8127,0.0219,0.0156,0.006,0.0466,0.0239,0.0072,0.0235,0.0194",0,12,0.8425,True,4,False,0.0
mentor_888204c8,Ольга Семёнов,lead,4,Product Analytics,Retention Analyst,en,en,online,online,sql; power bi; python; looker; google analytics; a/b testing; excel; tableau; prometheus,0,"0.0357,0.0225,0.0213,0.0654,0.0071,0.0088,0.0237,0.0056,0.7712,0.0388",0,16,0.9306,True,4,False,0.0
mentor_9f49a7c6,Александр Никитин,senior,3,Game Development,Game Developer,ru,ru,offline,offline,git; lua; physics simulation; unreal engine; c++; blender; unity; opengl; c#; game design; tableau,0,"0.0164,0.0182,0.0174,0.0172,0.0112,0.0057,0.8087,0.0336,0.0242,0.0473",0,10,0.7876,True,3,False,0.0
mentor_d7bd8a25,Елена Лебедев,lead,4,Backend,Systems Architect,ru+en,en|ru,online,online,kubernetes; go; redis; grpc; microservices; rest api; node.js; sql; mongodb; python; docker; postgresql; kafka,0,"0.6242,0.0178,0.0146,0.0912,0.061,0.0036,0.0225,0.0912,0.0412,0.0326",0,13,0.8668,False,0,False,0.0
mentor_0bcc7a68,Андрей Степанов,lead,4,Blockchain,Crypto Analyst,ru,ru,hybrid,hybrid|offline|online,ethers.js; nft; truffle; hardhat; ethereum; solidity; web3.js; typescript; rust; defi; smart contracts; python; kubernetes,0,"0.0177,0.8215,0.0209,0.0167,0.0053,0.0481,0.0184,0.0147,0.0194,0.0172",0,13,0.8668,False,0,False,0.0
mentor_3664ddff,Людмила Зайцев,lead,4,Product Analytics,Web Analyst,ru,ru,hybrid,hybrid|offline|online,looker; a/b testing; google analytics; amplitude; sql; mixpanel; power bi; excel; python; tableau; statistics,0,"0.0418,0.0249,0.0186,0.0721,0.0046,0.0118,0.0191,0.0035,0.7682,0.0355",0,16,0.9306,True,5,False,0.0
mentor_3baf3f39,Тимур Андреев,senior,3,QA,Test Automation Engineer,,,,,selenium; appium; allure; jira; python; test planning; api testing; pytest; postman; cypress,0,"0.0335,0.0177,0.0178,0.0284,0.0066,0.0075,0.0436,0.0317,0.0358,0.7772",0,10,0.7876,True,8,False,0.0
mentor_a9e8aac2,Александр Новиков,senior,3,Blockchain,DeFi Developer,,,,,hardhat; solidity; ethers.js; python; web3.js; rust; smart contracts,0,"0.0169,0.8203,0.0203,0.0169,0.005,0.0485,0.0238,0.0067,0.0244,0.0172",0,8,0.7217,True,1,False,0.0
mentor_de8cf19e,Александр Морозов,senior,3,Frontend,React Developer,,,,,,1,"0.0049,0.0486,0.0047,0.0114,0.0081,0.8855,0.0056,0.0111,0.0117,0.0083",0,12,0.8425,True,2,False,0.0
mentor_efad3b2a,Антон Лебедев,lead,4,DevOps,CI/CD Engineer,en,en,hybrid,hybrid|offline|online,gcp; docker; jenkins; azure; github actions; linux; grafana; kubernetes; aws; helm; blender,0,"0.0539,0.0073,0.0446,0.0262,0.8111,0.012,0.0183,0.0133,0.0043,0.009",0,9,0.7563,True,1,False,0.0
mentor_d92a24cb,Дмитрий Иванов,lead,4,QA,SDET,ru+en,en|ru,hybrid,hybrid|offline|online,cypress; python; git; jmeter; test planning; postman; api testing; allure; pytest; selenium; jira; next.js,0,"0.0323,0.0219,0.014,0.0284,0.0047,0.0085,0.0447,0.033,0.0381,0.7745",0,9,0.7563,True,3,False,0.0
mentor_aeab2968,Полина Андреев,lead,4,QA,Test Analyst,en,en,online,online,api testing; appium; sql; git; test planning; pytest; allure; cypress; jmeter; jira; selenium,0,"0.0357,0.0184,0.0172,0.0346,0.0031,0.0118,0.0482,0.03,0.0469,0.7541",0,11,0.8162,True,5,False,0.0
mentor_f548974e,Вера Макаров,senior,3,QA,SDET,en,en,online,online,test planning; jmeter; pytest; appium; allure; python; selenium; api testing,0,"0.0323,0.0219,0.014,0.0284,0.0047,0.0085,0.0447,0.033,0.0381,0.7745",0,12,0.8425,False,0,False,0.0
mentor_b2d6daa4,Алексей Макаров,middle,2,DevOps,Cloud Engineer,ru+en,en|ru,hybrid,hybrid|offline|online,aws; prometheus; kubernetes; gcp; helm; github actions; grafana; jenkins,0,"0.0596,0.0067,0.0454,0.0325,0.81,0.0096,0.0105,0.0094,0.0097,0.0066",0,5,0.5885,True,8,False,0.0
mentor_64434b3b,Роман Макаров,senior,3,QA,QA Engineer,,,hybrid,hybrid|offline|online,sql; appium; python; cypress; jmeter; pytest; jira,0,"0.0387,0.0254,0.0194,0.0346,0.0137,0.0095,0.0463,0.0286,0.0471,0.7367",0,11,0.8162,True,2,False,0.0
mentor_fb62e2fb,Елена Фёдоров,lead,4,QA,SDET,,,,,cypress; selenium; postman; python; api testing; appium; sql; test planning; allure,0,"0.0323,0.0219,0.014,0.0284,0.0047,0.0085,0.0447,0.033,0.0381,0.7745",0,9,0.7563,True,1,False,0.0
mentor_be1d053a,Татьяна Морозов,middle,2,Product Analytics,CRM Analyst,ru+en,en|ru,online,online,statistics; sql; amplitude; python; mixpanel; a/b testing; power bi; excel; spark,0,"0.0354,0.0209,0.0238,0.078,0.0057,0.0096,0.0195,0.0088,0.7583,0.0401",0,2,0.3608,True,6,False,0.0
mentor_228eb8de,Людмила Степанов,senior,3,Mobile,Flutter Developer,ru+en,en|ru,hybrid,hybrid|offline|online,git; ui/ux; rest api; flutter; java; objective-c; xcode; react native,0,"0.086,0.0079,0.0067,0.0074,0.0073,0.0057,0.0321,0.8105,0.0081,0.0283",0,8,0.7217,True,2,True,0.07
mentor_69ba3329,Дмитрий Макаров,middle,2,Game Development,Game Designer,en,en,hybrid,hybrid|offline|online,,1,"0.0217,0.0235,0.016,0.0213,0.0093,0.0082,0.7925,0.0374,0.0241,0.046",0,5,0.5885,True,2,False,0.0
mentor_8ec7dbb5,Тимур Морозов,middle,2,DevOps,DevOps Engineer,,,online,online,,1,"0.0643,0.0037,0.0462,0.0359,0.8063,0.0048,0.011,0.0109,0.0114,0.0054",0,2,0.3608,False,0,False,0.0
mentor_29f33a59,Полина Волков,lead,4,Backend,Backend Developer,ru,ru,hybrid,hybrid|offline|online,redis; postgresql; docker; sql; python; rest api; go; microservices; mongodb; grpc; kubernetes; kafka; node.js; java,0,"0.6448,0.0211,0.0194,0.0856,0.0567,0.0093,0.0146,0.0758,0.0378,0.0349",0,15,0.9107,True,2,False,0.0
mentor_8acf264f,Дарья Николаев,senior,3,Mobile,React Native Developer,,,offline,offline,,1,"0.0682,0.0094,0.0081,0.0146,0.0156,0.0039,0.0394,0.8003,0.0059,0.0347",0,12,0.8425,False,0,False,0.0
mentor_ba1dff22,Ольга Попов,lead,4,QA,QA Lead,en,en,online,online,jmeter; pytest; api testing; git; allure; jira; cypress; test planning; sql; selenium; python; postman; appium,0,"0.0365,0.016,0.0163,0.0362,0.006,0.0138,0.0503,0.0255,0.0415,0.7579",0,13,0.8668,True,1,False,0.0
