mentee_id,rank,mentor_id,mentor_name,profession,mentor_rating,organic_score,final_score,is_boosted,top_factor,profile_penalized,w_skill_contrib,w_domain_contrib,w_exp_contrib,w_rating_contrib
mentee_961df732,4,mentor_02659c85,Валерия Новиков,Android Developer,3.5,0.744,0.8705,True,domain,False,0.26,0.3,0.1306,0.0533
mentee_961df732,5,mentor_bea5d5a1,Ольга Борисов,iOS Developer,4.5,0.8631,0.8631,False,domain,False,0.195,0.3,0.2481,0.12
mentee_4e0957d3,1,mentor_f061e9b1,Вера Соловьёв,Software Engineer,4.6,0.8066,0.9679,True,rating,False,0.1462,0.2526,0.1086,0.2993
mentee_4e0957d3,2,mentor_13adc44c,Александр Морозов,Backend Developer,5.0,0.8784,0.8784,False,rating,False,0.1462,0.2492,0.1522,0.3308
mentee_4e0957d3,3,mentor_bb039843,Егор Козлов,Systems Architect,4.5,0.8113,0.8113,False,rating,False,0.1462,0.2446,0.137,0.2835
mentee_4e0957d3,4,mentor_d09d90d5,Антон Павлов,API Developer,4.6,0.745,0.745,False,rating,False,0.1316,0.2456,0.0685,0.2993
mentee_4e0957d3,5,mentor_06b00543,Ольга Петров,Backend Developer,4.3,0.7444,0.7444,False,rating,False,0.1462,0.2492,0.0969,0.252
mentee_eb604282,1,mentor_f061e9b1,Вера Соловьёв,Software Engineer,4.6,0.7727,0.9272,True,skill,False,0.2769,0.1755,0.1694,0.1508
mentee_eb604282,2,mentor_13adc44c,Александр Морозов,Backend Developer,5.0,0.8774,0.8774,False,skill,False,0.3,0.1732,0.2375,0.1667
mentee_eb604282,3,mentor_7b23c9f3,Кирилл Кузнецов,Backend Developer,3.5,0.8292,0.8292,False,skill,False,0.3,0.1732,0.2925,0.0635
mentee_eb604282,4,mentor_2c29357e,Елена Кузнецов,Database Engineer,3.5,0.8284,0.8284,False,skill,False,0.3,0.1724,0.2925,0.0635
mentee_eb604282,5,mentor_29f33a59,Полина Волков,Backend Developer,3.8,0.8186,0.8186,False,skill,False,0.3,0.1732,0.2581,0.0873
mentee_d52bf3d1,1,mentor_457278e0,Павел Петров,Smart Contract Developer,4.5,0.7264,0.7627,True,domain,True,0.0,0.28,0.2578,0.1886
mentee_d52bf3d1,2,mentor_d9156405,Антон Морозов,Crypto Analyst,4.8,0.7409,0.7409,False,domain,True,0.0,0.28,0.2409,0.22
mentee_d52bf3d1,3,mentor_4c444d29,Алексей Фёдоров,DeFi Developer,4.8,0.7316,0.7316,False,domain,True,0.0,0.28,0.2316,0.22
mentee_d52bf3d1,4,mentor_d497a435,Арсений Попов,Solidity Developer,4.3,0.7132,0.7132,False,domain,True,0.0,0.28,0.2656,0.1676
mentee_d52bf3d1,5,mentor_52e8e236,Максим Иванов,Crypto Analyst,4.6,0.7007,0.7007,False,domain,True,0.0,0.28,0.2216,0.1991
mentee_a4a329e9,1,mentor_cc33e267,Алексей Никитин,Retention Analyst,4.9,0.7423,0.7943,True,rating,True,0.0,0.2651,0.2008,0.2765
mentee_a4a329e9,2,mentor_89415c0e,Иван Фёдоров,Retention Analyst,4.3,0.6765,0.7239,True,domain,True,0.0,0.2651,0.2008,0.2107
mentee_a4a329e9,3,mentor_a49c021b,Ксения Соколов,Web Analyst,4.5,0.6971,0.6971,False,domain,True,0.0,0.2649,0.1953,0.237
mentee_a4a329e9,4,mentor_288413bd,Григорий Соловьёв,Growth Analyst,4.1,0.6308,0.6308,False,domain,True,0.0,0.2629,0.1835,0.1843
mentee_a4a329e9,5,mentor_6243d498,Виктория Волков,ML Engineer,4.7,0.5733,0.6249,True,rating,True,0.0,0.1092,0.2008,0.2633
mentee_e3b74a40,1,mentor_11dbda52,Сергей Николаев,Manual Tester,4.6,0.6398,0.6398,False,exp,True,0.0,0.1349,0.2981,0.2068
mentee_e3b74a40,2,mentor_d88f2e6c,Александр Борисов,Test Automation Engineer,3.5,0.5307,0.6315,True,exp,True,0.0,0.1371,0.3064,0.0871
mentee_e3b74a40,3,mentor_cc33e267,Алексей Никитин,Retention Analyst,4.9,0.5744,0.6146,True,exp,True,0.0,0.0394,0.3064,0.2286
mentee_e3b74a40,4,mentor_985d2e99,Людмила Морозов,Test Automation Engineer,4.2,0.5708,0.6108,True,exp,True,0.0,0.1371,0.2704,0.1633
mentee_e3b74a40,5,mentor_6243d498,Виктория Волков,ML Engineer,4.7,0.5587,0.609,True,exp,True,0.0,0.0346,0.3064,0.2177
mentee_08e4bff8,1,mentor_a669ea81,Артём Смирнов,React Developer,4.5,0.9734,0.9734,False,exp,False,0.1857,0.2714,0.3571,0.1592
mentee_08e4bff8,2,mentor_6c56c753,Павел Васильев,Web Developer,4.8,0.95,0.95,False,exp,False,0.1857,0.2714,0.3072,0.1857
mentee_08e4bff8,3,mentor_04d4bf40,Вера Морозов,Angular Developer,4.5,0.9451,0.9451,False,exp,False,0.1857,0.2714,0.3288,0.1592
mentee_08e4bff8,4,mentor_07276bdc,Григорий Борисов,UI Developer,4.4,0.9257,0.9257,False,exp,False,0.1857,0.2714,0.3183,0.1503
mentee_08e4bff8,5,mentor_e90c474d,Алина Фёдоров,React Developer,4.1,0.8992,0.8992,False,exp,False,0.1857,0.2714,0.3183,0.1238
mentee_ff7a72b7,1,mentor_deb7b68e,Вера Никитин,Unreal Engine Developer,4.4,0.927,1.029,True,domain,False,0.1545,0.3727,0.1864,0.2134
mentee_ff7a72b7,2,mentor_148fff02,Юлия Павлов,Technical Artist,4.6,0.8951,0.9757,True,domain,False,0.1545,0.3727,0.1294,0.2385
mentee_ff7a72b7,3,mentor_fa1703d1,Иван Лебедев,Game Designer,4.2,0.8161,0.9222,True,domain,False,0.1264,0.372,0.1294,0.1883
mentee_ff7a72b7,4,mentor_db30ab52,Алексей Борисов,Unreal Engine Developer,4.5,0.8927,0.8927,False,domain,False,0.1545,0.3727,0.1396,0.2259
mentee_ff7a72b7,5,mentor_9b2723ce,Ольга Иванов,Game Designer,3.9,0.8065,0.871,True,domain,False,0.1545,0.372,0.1294,0.1506
mentee_1881803f,1,mentor_deb7b68e,Вера Никитин,Unreal Engine Developer,4.4,0.9338,1.0365,True,domain,False,0.2385,0.3308,0.1714,0.1931
mentee_1881803f,2,mentor_148fff02,Юлия Павлов,Technical Artist,4.6,0.9041,0.9855,True,domain,False,0.2385,0.3308,0.119,0.2158
mentee_1881803f,3,mentor_75b6e3e8,Михаил Семёнов,Game Developer,4.7,0.9788,0.9788,False,domain,False,0.2385,0.3308,0.1824,0.2271
mentee_1881803f,4,mentor_fa1703d1,Иван Лебедев,Game Designer,4.2,0.8571,0.9685,True,domain,False,0.2385,0.3293,0.119,0.1704
mentee_1881803f,5,mentor_783645cd,Антон Попов,Unreal Engine Developer,3.9,0.834,0.9424,True,domain,False,0.2385,0.3308,0.1284,0.1363
mentee_a867cc1d,1,mentor_d293ef1f,Екатерина Андреев,Security Engineer,4.8,0.9751,0.9751,False,exp,False,0.1857,0.2286,0.2894,0.2714
mentee_a867cc1d,2,mentor_bc98518f,Дмитрий Никитин,Security Engineer,4.5,0.9534,0.9534,False,exp,False,0.1857,0.2286,0.3064,0.2326
mentee_a867cc1d,3,mentor_4a130eba,Денис Соловьёв,AppSec Engineer,4.4,0.9321,0.9321,False,exp,False,0.1857,0.2286,0.2981,0.2197
mentee_a867cc1d,4,mentor_d8bdc449,Екатерина Орлов,Malware Analyst,4.6,0.8967,0.8967,False,rating,False,0.1857,0.2286,0.2369,0.2456
mentee_a867cc1d,5,mentor_bbb6a577,Виктория Макаров,Malware Analyst,4.4,0.894,0.894,False,exp,False,0.1857,0.2286,0.26,0.2197
mentee_6cb2c7d8,1,mentor_c44e63fa,Вера Лебедев,SRE,4.4,0.8361,1.0033,True,skill,False,0.3,0.1667,0.0726,0.2968
mentee_6cb2c7d8,2,mentor_b2d6daa4,Алексей Макаров,Cloud Engineer,5.0,0.8928,0.8928,False,rating,False,0.3,0.1667,0.0594,0.3667
mentee_6cb2c7d8,3,mentor_085cc4b3,Алина Фёдоров,Cloud Engineer,4.1,0.8506,0.8506,False,skill,False,0.2769,0.1667,0.1625,0.2445
mentee_6cb2c7d8,4,mentor_2cf30255,Татьяна Борисов,Kubernetes Engineer,4.7,0.7633,0.7633,False,rating,False,0.1286,0.1667,0.1188,0.3492
mentee_6cb2c7d8,5,mentor_66cea7cc,Ольга Борисов,DevOps Engineer,4.1,0.7112,0.7112,False,skill,False,0.3,0.1667,0.0,0.2445
mentee_d0f4564e,1,mentor_6243d498,Виктория Волков,ML Engineer,4.7,0.7302,0.7959,True,rating,False,0.0975,0.1526,0.1706,0.3095
mentee_d0f4564e,2,mentor_9d15fed7,Денис Захаров,NLP Engineer,4.3,0.7248,0.7248,False,rating,False,0.1625,0.1535,0.1611,0.2476
mentee_d0f4564e,3,mentor_467dea2c,Андрей Морозов,Data Scientist,5.0,0.7151,0.7151,False,rating,False,0.1083,0.1499,0.1319,0.325
mentee_d0f4564e,4,mentor_1f8f33d5,Михаил Иванов,MLOps Engineer,4.5,0.6227,0.6227,False,rating,False,0.075,0.1522,0.1168,0.2786
mentee_d0f4564e,5,mentor_99e26909,Павел Семёнов,Computer Vision Engineer,4.1,0.6155,0.6155,False,rating,False,0.1219,0.1523,0.1247,0.2167
mentee_a0538645,1,mentor_a49c021b,Ксения Соколов,Web Analyst,4.5,0.8946,0.8946,False,rating,False,0.1711,0.2525,0.1983,0.2727
mentee_a0538645,2,mentor_26efd06d,Ольга Васильев,Growth Analyst,3.9,0.8454,0.8454,False,domain,False,0.2091,0.2506,0.2039,0.1818
mentee_a0538645,3,mentor_3664ddff,Людмила Зайцев,Web Analyst,3.9,0.8298,0.8298,False,domain,False,0.2091,0.2525,0.1864,0.1818
mentee_a0538645,4,mentor_6da5f668,Анна Алексеев,Product Analyst,4.1,0.8184,0.8184,False,domain,False,0.2091,0.2482,0.149,0.2121
mentee_a0538645,5,mentor_9ee51997,Иван Волков,Marketing Analyst,4.2,0.8119,0.8119,False,domain,False,0.2091,0.2462,0.1294,0.2273
mentee_3ddf1a6c,1,mentor_b879352b,Артём Степанов,Backend Developer,3.6,0.707,0.707,False,exp,False,0.225,0.1959,0.2261,0.06
mentee_3ddf1a6c,2,mentor_13adc44c,Александр Морозов,Backend Developer,5.0,0.6934,0.6934,False,exp,False,0.12,0.1959,0.2375,0.14
mentee_3ddf1a6c,3,mentor_7b23c9f3,Кирилл Кузнецов,Backend Developer,3.5,0.6617,0.6617,False,exp,False,0.12,0.1959,0.2925,0.0533
mentee_3ddf1a6c,4,mentor_29f33a59,Полина Волков,Backend Developer,3.8,0.6473,0.6473,False,exp,False,0.12,0.1959,0.2581,0.0733
mentee_3ddf1a6c,5,mentor_2c29357e,Елена Кузнецов,Database Engineer,3.5,0.6226,0.6226,False,exp,False,0.0818,0.1949,0.2925,0.0533
mentee_baf07f05,1,mentor_13adc44c,Александр Морозов,Backend Developer,5.0,0.9074,0.9074,False,rating,False,0.1667,0.1227,0.1847,0.4333
mentee_baf07f05,2,mentor_acae150b,Вера Макаров,Database Engineer,4.6,0.8739,0.8739,False,rating,False,0.1667,0.1222,0.193,0.392
mentee_baf07f05,3,mentor_6243d498,Виктория Волков,ML Engineer,4.7,0.7857,0.8564,True,rating,False,0.0769,0.0686,0.2275,0.4127
mentee_baf07f05,4,mentor_de62faa5,Кирилл Орлов,Software Engineer,4.5,0.8555,0.8555,False,rating,False,0.1667,0.1244,0.193,0.3714
mentee_baf07f05,5,mentor_29db4157,Ольга Степанов,Flutter Developer,4.6,0.7046,0.8314,True,rating,False,0.0769,0.051,0.1847,0.392
mentee_56e0cbee,1,mentor_6aea9f28,Григорий Борисов,QA Engineer,4.6,0.8889,0.8889,False,rating,False,0.1429,0.2017,0.26,0.2844
mentee_56e0cbee,2,mentor_9c789c28,Екатерина Новиков,QA Engineer,4.5,0.8379,0.8379,False,rating,False,0.1429,0.2017,0.2239,0.2694
mentee_56e0cbee,3,mentor_6243d498,Виктория Волков,ML Engineer,4.7,0.7286,0.7942,True,exp,False,0.0659,0.0569,0.3064,0.2993
mentee_56e0cbee,4,mentor_5f221e59,Надежда Степанов,Performance Tester,4.2,0.7136,0.7921,True,rating,False,0.1225,0.2081,0.1584,0.2245
mentee_56e0cbee,5,mentor_d539ab4f,Владимир Фёдоров,Data Scientist,4.8,0.6655,0.7919,True,rating,False,0.0572,0.0572,0.2369,0.3143
mentee_3d2b4edc,1,mentor_dceb1a85,Юлия Николаев,BI Analyst,4.4,0.8342,0.9343,True,domain,False,0.175,0.3095,0.2148,0.1349
mentee_3d2b4edc,2,mentor_9d85cb50,Егор Попов,Data Analyst,3.7,0.7603,0.8439,True,domain,False,0.14,0.3197,0.2213,0.0794
mentee_3d2b4edc,3,mentor_6243d498,Виктория Волков,ML Engineer,4.7,0.772,0.8415,True,domain,False,0.07,0.3157,0.2275,0.1588
mentee_3d2b4edc,4,mentor_4af02f56,Максим Алексеев,Research Scientist,4.7,0.7718,0.7718,False,domain,False,0.1555,0.3132,0.1443,0.1588
mentee_3d2b4edc,5,mentor_c4a75679,Мария Новиков,ML Engineer,3.4,0.7601,0.7601,False,domain,False,0.1555,0.3157,0.2333,0.0556
mentee_6eadd732,1,mentor_13adc44c,Александр Морозов,Backend Developer,5.0,0.7366,0.7366,False,rating,False,0.12,0.2099,0.1267,0.28
mentee_6eadd732,2,mentor_b879352b,Артём Степанов,Backend Developer,3.6,0.6905,0.6905,False,skill,False,0.24,0.2099,0.1206,0.12
mentee_6eadd732,3,mentor_2c29357e,Елена Кузнецов,Database Engineer,3.5,0.6584,0.6584,False,domain,False,0.1867,0.209,0.156,0.1067
mentee_6eadd732,4,mentor_06b00543,Ольга Петров,Backend Developer,4.3,0.6439,0.6439,False,rating,False,0.14,0.2099,0.0807,0.2133
mentee_6eadd732,5,mentor_29f33a59,Полина Волков,Backend Developer,3.8,0.6143,0.6143,False,domain,False,0.12,0.2099,0.1376,0.1467
mentee_be3625c9,1,mentor_9376b8e5,Егор Волков,Mobile Architect,4.3,0.6223,0.7468,True,domain,True,0.0,0.25,0.1247,0.2476
mentee_be3625c9,2,mentor_1bce2dca,Дмитрий Смирнов,Android Developer,4.9,0.741,0.741,False,rating,True,0.0,0.25,0.166,0.325
mentee_be3625c9,3,mentor_deab40c7,Вера Семёнов,React Native Developer,3.9,0.6107,0.7206,True,domain,True,0.0,0.25,0.175,0.1857
mentee_be3625c9,4,mentor_bea5d5a1,Ольга Борисов,iOS Developer,4.5,0.6733,0.6733,False,rating,True,0.0,0.25,0.1447,0.2786
mentee_be3625c9,5,mentor_99d5dbc3,Александр Николаев,iOS Developer,4.6,0.6609,0.6609,False,rating,True,0.0,0.25,0.1168,0.2941
mentee_02bfb11a,1,mentor_0c7311c4,Татьяна Петров,A/B Test Specialist,4.4,0.8276,0.8855,True,skill,False,0.2875,0.2361,0.1623,0.1417
mentee_02bfb11a,2,mentor_a0296527,Алина Никитин,Growth Analyst,3.5,0.8103,0.867,True,skill,False,0.2875,0.2395,0.2167,0.0667
mentee_02bfb11a,3,mentor_a49c021b,Ксения Соколов,Web Analyst,4.5,0.8557,0.8557,False,exp,False,0.1917,0.2413,0.2727,0.15
mentee_02bfb11a,4,mentor_ab89a273,Артём Иванов,Marketing Analyst,3.6,0.8417,0.8417,False,exp,False,0.2587,0.2352,0.2727,0.075
mentee_02bfb11a,5,mentor_3664ddff,Людмила Зайцев,Web Analyst,3.9,0.8328,0.8328,False,exp,False,0.2352,0.2413,0.2563,0.1
mentee_f262dc15,1,mentor_a49c021b,Ксения Соколов,Web Analyst,4.5,0.8776,0.8776,False,rating,False,0.165,0.2125,0.2087,0.2914
mentee_f262dc15,2,mentor_26efd06d,Ольга Васильев,Growth Analyst,3.9,0.7847,0.7847,False,exp,False,0.165,0.2109,0.2145,0.1943
mentee_f262dc15,3,mentor_73194429,Павел Соловьёв,Marketing Analyst,4.1,0.7497,0.7497,False,rating,False,0.22,0.2072,0.0958,0.2267
mentee_f262dc15,4,mentor_3664ddff,Людмила Зайцев,Web Analyst,3.9,0.7229,0.7229,False,domain,False,0.12,0.2125,0.1961,0.1943
mentee_f262dc15,5,mentor_5a31b4e1,Алексей Михайлов,Product Analyst,4.5,0.7024,0.7024,False,rating,False,0.066,0.2089,0.1361,0.2914
mentee_cb8dd468,1,mentor_13adc44c,Александр Морозов,Backend Developer,5.0,0.8621,0.8621,False,rating,False,0.1371,0.1634,0.2216,0.34
mentee_cb8dd468,2,mentor_31667e62,Надежда Морозов,Go Developer,4.8,0.8178,0.8178,False,rating,False,0.16,0.1597,0.1581,0.34
mentee_cb8dd468,3,mentor_d539ab4f,Владимир Фёдоров,Data Scientist,4.8,0.6429,0.7651,True,rating,False,0.0,0.0919,0.211,0.34
mentee_cb8dd468,4,mentor_6243d498,Виктория Волков,ML Engineer,4.7,0.689,0.751,True,rating,False,0.0,0.0922,0.273,0.3238
mentee_cb8dd468,5,mentor_dceb1a85,Юлия Николаев,BI Analyst,4.4,0.6702,0.7506,True,rating,False,0.0436,0.0935,0.2578,0.2752
mentee_6261e3c3,1,mentor_39e6e908,Екатерина Михайлов,NLP Engineer,4.4,0.8771,1.0437,True,domain,False,0.25,0.2875,0.1979,0.1417
mentee_6261e3c3,2,mentor_6243d498,Виктория Волков,ML Engineer,4.7,0.9461,1.0312,True,domain,False,0.25,0.2857,0.2437,0.1667
mentee_6261e3c3,3,mentor_cf33f669,Алексей Кузнецов,Data Scientist,3.2,0.8161,0.9548,True,domain,False,0.25,0.2806,0.2437,0.0417
mentee_6261e3c3,4,mentor_113c1958,Ольга Попов,ML Engineer,4.1,0.8825,0.8825,False,domain,False,0.25,0.2857,0.2302,0.1167
mentee_6261e3c3,5,mentor_baf4454e,Анна Андреев,Computer Vision Engineer,4.4,0.8747,0.8747,False,domain,False,0.25,0.2852,0.1979,0.1417
mentee_f85a95b6,1,mentor_14cf5716,Полина Кузнецов,Web Developer,3.9,0.9024,0.9024,False,skill,False,0.3182,0.1545,0.3102,0.1195
mentee_f85a95b6,2,mentor_56105218,Ольга Петров,Frontend Developer,4.4,0.8642,0.8642,False,exp,False,0.2386,0.1545,0.3018,0.1693
mentee_f85a95b6,3,mentor_6c56c753,Павел Васильев,Web Developer,4.8,0.8576,0.8576,False,exp,False,0.2203,0.1545,0.2737,0.2091
mentee_f85a95b6,4,mentor_a669ea81,Артём Смирнов,React Developer,4.5,0.811,0.811,False,exp,False,0.1591,0.1545,0.3182,0.1792
mentee_f85a95b6,5,mentor_503f57f3,Дарья Зайцев,TypeScript Developer,4.2,0.7823,0.7823,False,exp,False,0.2386,0.1545,0.2398,0.1494
mentee_92571eea,1,mentor_fec1a45e,Дмитрий Захаров,React Native Developer,4.4,0.9174,0.9174,False,domain,False,0.2,0.3,0.2151,0.2024
mentee_92571eea,2,mentor_ac4fc9b2,Наталья Макаров,iOS Developer,4.4,0.9091,0.9091,False,domain,False,0.2,0.3,0.2068,0.2024
mentee_92571eea,3,mentor_332aa4b0,Полина Кузнецов,Swift Developer,4.1,0.8895,0.8895,False,domain,False,0.2,0.3,0.2228,0.1667
mentee_92571eea,4,mentor_deab40c7,Вера Семёнов,React Native Developer,3.9,0.6929,0.8176,True,domain,True,0.0,0.3,0.25,0.1429
mentee_92571eea,5,mentor_af5ceb16,Михаил Зайцев,Android Developer,3.2,0.7967,0.7967,False,domain,False,0.2,0.3,0.2371,0.0595
mentee_0aa63fb5,1,mentor_c44e63fa,Вера Лебедев,SRE,4.4,0.572,0.6864,True,domain,True,0.0,0.2714,0.0809,0.2197
mentee_0aa63fb5,2,mentor_5439b870,Ирина Лебедев,CI/CD Engineer,4.8,0.6751,0.6751,False,domain,True,0.0,0.2714,0.1323,0.2714
mentee_0aa63fb5,3,mentor_2cf30255,Татьяна Борисов,Kubernetes Engineer,4.7,0.6622,0.6622,False,domain,True,0.0,0.2714,0.1323,0.2585
mentee_0aa63fb5,4,mentor_1b3538af,Екатерина Попов,SRE,4.3,0.6379,0.6379,False,domain,True,0.0,0.2714,0.1598,0.2068
mentee_0aa63fb5,5,mentor_085cc4b3,Алина Фёдоров,Cloud Engineer,4.1,0.6334,0.6334,False,domain,True,0.0,0.2714,0.1811,0.1809
mentee_8a2e9aa5,1,mentor_cc33e267,Алексей Никитин,Retention Analyst,4.9,0.9824,1.0512,True,skill,False,0.3182,0.2527,0.257,0.1545
mentee_8a2e9aa5,2,mentor_72037369,Алина Никитин,Growth Analyst,4.3,0.9292,0.9942,True,skill,False,0.3182,0.2506,0.2427,0.1177
mentee_8a2e9aa5,3,mentor_a49c021b,Ксения Соколов,Web Analyst,4.5,0.9531,0.9531,False,skill,False,0.3182,0.2525,0.25,0.1324
mentee_8a2e9aa5,4,mentor_26efd06d,Ольга Васильев,Growth Analyst,3.9,0.9141,0.9141,False,skill,False,0.3182,0.2506,0.257,0.0883
mentee_8a2e9aa5,5,mentor_288413bd,Григорий Соловьёв,Growth Analyst,4.1,0.9068,0.9068,False,skill,False,0.3182,0.2506,0.235,0.103
mentee_02012a6d,1,mentor_b671d7f6,Екатерина Петров,Technical Artist,4.0,0.8934,1.0363,True,exp,False,0.22,0.22,0.2925,0.1609
mentee_02012a6d,2,mentor_deb7b68e,Вера Никитин,Unreal Engine Developer,4.4,0.9179,1.0189,True,exp,False,0.22,0.22,0.2674,0.2105
mentee_02012a6d,3,mentor_148fff02,Юлия Павлов,Technical Artist,4.6,0.8609,0.9384,True,rating,False,0.22,0.22,0.1856,0.2352
mentee_02012a6d,4,mentor_074817ee,Надежда Козлов,Game Developer,3.6,0.7652,0.9182,True,skill,False,0.22,0.22,0.2137,0.1114
mentee_02012a6d,5,mentor_fa1703d1,Иван Лебедев,Game Designer,4.2,0.8109,0.9163,True,skill,False,0.22,0.2196,0.1856,0.1857
mentee_9cb6466b,1,mentor_7d013eba,Ольга Васильев,Systems Architect,3.5,0.7974,0.909,True,skill,False,0.4,0.2041,0.1323,0.061
mentee_9cb6466b,2,mentor_13adc44c,Александр Морозов,Backend Developer,5.0,0.8946,0.8946,False,skill,False,0.4,0.2079,0.1267,0.16
mentee_9cb6466b,3,mentor_83728d83,Дарья Петров,Backend Developer,4.3,0.8858,0.8858,False,skill,False,0.4,0.2079,0.156,0.1219
mentee_9cb6466b,4,mentor_acae150b,Вера Макаров,Database Engineer,4.6,0.8841,0.8841,False,skill,False,0.4,0.2069,0.1323,0.1448
mentee_9cb6466b,5,mentor_de62faa5,Кирилл Орлов,Software Engineer,4.5,0.8802,0.8802,False,skill,False,0.4,0.2108,0.1323,0.1371
mentee_bc65a1ba,1,mentor_f061e9b1,Вера Соловьёв,Software Engineer,4.6,0.7852,0.9422,True,skill,False,0.2385,0.1441,0.1868,0.2158
mentee_bc65a1ba,2,mentor_13adc44c,Александр Морозов,Backend Developer,5.0,0.881,0.881,False,exp,False,0.2385,0.1422,0.2619,0.2385
mentee_bc65a1ba,3,mentor_bb039843,Егор Козлов,Systems Architect,4.5,0.8183,0.8183,False,skill,False,0.2385,0.1397,0.2357,0.2044
mentee_bc65a1ba,4,mentor_7b23c9f3,Кирилл Кузнецов,Backend Developer,3.5,0.7941,0.7941,False,exp,False,0.2385,0.1422,0.3225,0.0909
mentee_bc65a1ba,5,mentor_2c29357e,Елена Кузнецов,Database Engineer,3.5,0.7935,0.7935,False,exp,False,0.2385,0.1416,0.3225,0.0909
mentee_fa12ead9,1,mentor_6243d498,Виктория Волков,ML Engineer,4.7,0.9565,1.0426,True,exp,False,0.1545,0.1355,0.3634,0.3031
mentee_fa12ead9,2,mentor_d539ab4f,Владимир Фёдоров,Data Scientist,4.8,0.7984,0.9501,True,rating,False,0.0662,0.1331,0.2809,0.3182
mentee_fa12ead9,3,mentor_467dea2c,Андрей Морозов,Data Scientist,5.0,0.8867,0.8867,False,rating,False,0.1545,0.1331,0.2809,0.3182
mentee_fa12ead9,4,mentor_9d15fed7,Денис Захаров,NLP Engineer,4.3,0.8213,0.8213,False,exp,False,0.0993,0.1364,0.3432,0.2424
mentee_fa12ead9,5,mentor_1f8f33d5,Михаил Иванов,MLOps Engineer,4.5,0.7995,0.7995,False,rating,False,0.1426,0.1353,0.2489,0.2727
mentee_d27c2467,1,mentor_d9156405,Антон Морозов,Crypto Analyst,4.8,0.7437,0.7437,False,rating,True,0.0,0.22,0.2237,0.3
mentee_d27c2467,2,mentor_e13c245d,Алина Морозов,Crypto Analyst,4.9,0.6936,0.6936,False,rating,True,0.0,0.22,0.1736,0.3
mentee_d27c2467,3,mentor_e2a907f4,Тимур Соловьёв,Blockchain Developer,4.6,0.6874,0.6874,False,rating,True,0.0,0.22,0.1959,0.2714
mentee_d27c2467,4,mentor_4b35f0b2,Кирилл Орлов,DeFi Developer,4.6,0.665,0.665,False,rating,True,0.0,0.22,0.1736,0.2714
